Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Schlumbergera rosea,(Lagerh.) Calvente & Zappi,77125373-1,Environmental Uses,False,
Schlumbergera russeliana,(Hook.) Britton & Rose,229596-2,Gene Sources,False,
Schlumbergera truncata,(Haw.) Moran,229597-2,Environmental Uses; Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Selenicereus grandiflorus,(L.) Britton & Rose,138488-1,Environmental Uses; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Selenicereus hamatus,(Scheidw.) Britton & Rose,232376-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Selenicereus megalanthus,(K.Schum. ex Vaupel) Moran,232386-2,Environmental Uses; Human Food,False,
Selenicereus monacanthus,(Lem.) D.R.Hunt,77163180-1,Human Food,False,
Selenicereus ocamponis,(Salm-Dyck) D.R.Hunt,77163181-1,Human Food,False,
Selenicereus spinulosus,(DC.) Britton & Rose,232396-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Selenicereus triangularis,(L.) D.R.Hunt,77163183-1,Environmental Uses; Gene Sources; Human Food,False,
Selenicereus undatus,(Haw.) D.R.Hunt,77163184-1,Environmental Uses; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Stenocereus dumortieri,(Scheidw.) Buxb.,244631-2,Materials; Medicines,False,Medicinal Plant Names Services (MPNS)
Stenocereus fricii,Sánchez-Mej.,244633-2,Human Food,False,Germplasm Resources Information Network from USDA (GRIN); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Stenocereus griseus,(Haw.) Buxb.,244634-2,Environmental Uses; Human Food; Materials,False,Germplasm Resources Information Network from USDA (GRIN); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Stenocereus pruinosus,(Otto ex Pfeiff.) Buxb.,244646-2,Environmental Uses; Fuels; Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plant Project (UPP)
Stenocereus standleyi,(J.G.Ortega) Buxb.,244649-2,Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Stenocereus stellatus,(Pfeiff.) Riccob.,244650-2,Fuels; Human Food,False,Germplasm Resources Information Network from USDA (GRIN); Useful Plant Project (UPP)
Stenocereus thurberi,(Engelm.) Buxb.,244652-2,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Stenocereus treleasei,(Rose) Backeb.,244654-2,Environmental Uses; Materials,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Stetsonia coryne,(C.F.Först.) Britton & Rose,138603-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Tephrocactus articulatus,(Pfeiff.) Backeb.,250154-2,Environmental Uses,False,
Tephrocactus molinensis,(Speg.) Backeb.,250255-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Trichocereus chiloensis,(Colla) Britton & Rose,138913-1,Materials,False,
Trichocereus macrogonus,(Salm-Dyck) Riccob.,257107-2,Environmental Uses; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS)
Trichocereus werdermannianus,Backeb.,257170-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Tunilla soehrensii,(Britton & Rose) D.R.Hunt & Iliff,1014877-1,Environmental Uses; Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Weberbauerocereus winterianus,F.Ritter,139025-1,Human Food,False,
Weberocereus tonduzii,(F.A.C.Weber) G.D.Rowley,911624-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Acanthophyllum grandiflorum,Stocks,150237-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Acanthophyllum gypsophiloides,Regel,150238-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Acanthophyllum squarrosum,Boiss.,150278-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Agrostemma brachylobum,(Fenzl) K.Hammer,909925-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Agrostemma githago,L.,150316-1,Environmental Uses; Medicines; Poisons; Social Uses,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arenaria grandiflora,L.,151252-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arenaria lanuginosa,(Michx.) Rohrb.,30040285-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Arenaria serpyllifolia,L.,303826-2,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Atocion armeria,(L.) Raf.,77093328-1,Environmental Uses,False,
Augustea suffruticosa,(Griseb.) Iamonico,77151626-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cardionema kurtzii,Subils,45443-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Cerastium arvense,L.,329786-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Cerastium beeringianum,Cham. & Schltdl.,52311-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Cerastium biebersteinii,DC.,152101-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Cerastium glomeratum,Thuill.,152274-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cerastium holosteoides,Fr.,152312-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cerastium papuanum,Schltr. ex Mattf.,152496-1,Materials,False,Useful Plants of New Guinea
Cerastium thomsonii,Hook.f.,152711-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cerastium tomentosum,L.,152715-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Colobanthus subulatus,(d'Urv.) Hook.f.,152842-1,Environmental Uses,False,
Dianthus albens,Aiton,153024-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus alpinus,L.,153033-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Dianthus anatolicus,Boiss.,153045-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus barbatus,L.,306674-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Dianthus basuticus,Burtt Davy,153113-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus caespitosus,Thunb.,153175-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus carthusianorum,L.,302053-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Dianthus caryophyllus,L.,153205-1,Environmental Uses; Gene Sources; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Dianthus chinensis,L.,153215-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Dianthus crenatus,Thunb.,153262-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus deltoides,L.,302054-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Dianthus ferrugineus,Mill.,153343-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus gratianopolitanus,Vill.,153408-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Dianthus hyssopifolius,L.,153459-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Dianthus micropetalus,Ser.,153599-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus moviensis,F.N.Williams,153620-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus namaensis,Schinz,153637-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Dianthus plumarius,L.,153717-1,Environmental Uses; Gene Sources; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Dianthus superbus,L.,153941-1,Environmental Uses; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Dianthus thunbergii,S.S.Hooper,153977-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Dianthus zeyheri,Sond.,154048-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drymaria arenarioides,Humb. & Bonpl. ex Schult.,30198687-2,Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drymaria cordata,(L.) Willd. ex Schult.,30172747-2,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,
Drymaria diandra,Blume,154119-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drymaria glandulosa,Bartl.,154139-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drymaria ovata,Willd. ex Schult.,154166-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drymaria pachyphylla,Wooton & Standl.,84342-2,Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drymaria villosa,Schltdl. & Cham.,154201-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone aberrans,(M.E.Jones) Ikonn.,154226-1,Animal Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Eremogone aculeata,(S.Watson) Ikonn.,154229-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone congesta,(Nutt. ex Torr. & A.Gray) Ikonn.,154244-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone eastwoodiae,(Rydb.) Ikonn.,154250-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone fendleri,(A.Gray) Ikonn.,154251-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Eremogone festucoides,(Benth.) Pusalkar & D.K.Singh,77147939-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone juncea,(M.Bieb.) Fenzl,154262-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Eremogone kansuensis,(Maxim.) Dillenb. & Kadereit,77137402-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone macradenia,(S.Watson) Ikonn.,154270-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eremogone przewalskii,(Maxim.) Ikonn.,154284-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Eudianthe coeli-rosa,(L.) Fenzl ex Endl.,941552-1,Environmental Uses; Materials,False,
Gymnocarpos przewalskii,Bunge ex Maxim.,434757-1,Animal Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Gypsophila acutifolia,Steven ex Spreng.,154363-1,Materials,False,Germplasm Resources Information Network from USDA (GRIN)
Gypsophila arrostii,Guss.,154387-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Gypsophila bicolor,(Freyn & Sint.) Grossh.,154399-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila capillaris,(Forssk.) C.Chr.,154410-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila davurica,Turcz. ex Fenzl,154438-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila elegans,M.Bieb.,154453-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Gypsophila eriocalyx,Boiss.,154457-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila fastigiata,L.,154462-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila gypsophiloides,(Fenzl) Blakelock,154487-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila oldhamiana,Miq.,154553-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Gypsophila paniculata,L.,154563-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Gypsophila perfoliata,L.,154569-1,Medicines,False,European Red List of Medicinal Plants (Allen et al. 2014); Medicinal Plant Names Services (MPNS)
Gypsophila repens,L.,154602-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Gypsophila struthium,Loefl.,154648-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gypsophila vaccaria,(L.) Sm.,154685-1,Environmental Uses; Human Food; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS)
Gypsophila venusta,Fenzl,154688-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Herniaria glabra,L.,434799-1,Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Herniaria hirsuta,L.,434804-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Holosteum umbellatum,L.,301475-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Honckenya peploides,(L.) Ehrh.,154821-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Minuartia filifolia,(Forssk.) Mattf.,155511-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Minuartia mucronata,(L.) Schinz & Thell.,155600-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Moehringia lateriflora,(L.) Fenzl,30124057-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia arabica,(L.) DC.,434979-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia argentea,Lam.,434984-1,Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Paronychia brasiliana,DC.,434998-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia chilensis,DC.,435013-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia communis,Cambess.,435017-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia jamesii,Torr. & A.Gray,435058-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia polygonifolia,(Vill.) DC.,435101-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Paronychia sinaica,Fresen.,435123-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Petrorhagia saxifraga,(L.) Link,155987-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Pollichia campestris,Aiton,435155-1,Animal Food; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Polycarpaea arenaria,Gagnep.,156083-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Polycarpaea corymbosa,(L.) Lam.,30116479-2,Animal Food; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Polycarpaea eriantha,Hochst. ex A.Rich.,156115-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Polycarpaea glabrifolia,DC.,156127-1,Animal Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Polycarpaea linearifolia,(DC.) DC.,156149-1,Animal Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Polycarpon prostratum,(Forssk.) Asch. & Schweinf.,156228-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Polycarpon tetraphyllum,(L.) L.,156239-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Psammophiliella muralis,(L.) Ikonn.,156262-1,Environmental Uses,False,
Psammosilene tunicoides,W.C.Wu & C.Y.Wu,991720-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pseudostellaria heterophylla,(Miq.) Pax,156276-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Pseudostellaria sylvatica,(Maxim.) Pax,156292-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pycnophyllum convexum,Griseb.,156304-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Sagina japonica,(Sw.) Ohwi,156462-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Sagina procumbens,L.,302082-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Sagina saginoides,(L.) H.Karst.,156521-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Saponaria mesogitana,Boiss.,156616-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Saponaria ocymoides,L.,156626-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Saponaria officinalis,L.,156627-1,Environmental Uses; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Scleranthus annuus,L.,300494-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene acaulis,(L.) Jacq.,60452326-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Silene aegyptiaca,(L.) L.f.,156745-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene apetala,Willd.,303044-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene baccifera,(L.) Durande,156886-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene bellidioides,Sond.,156917-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene burchellii,Otth,156985-1,Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Silene chalcedonica,(L.) E.H.L.Krause,157059-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Silene conoidea,L.,157134-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Silene coronaria,(L.) Clairv.,60461121-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Silene delavayi,Franch.,157207-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene dioica,(L.) Clairv.,157239-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Silene drummondii,Hook.,236268-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene firma,Siebold & Zucc.,157351-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene fissipetala,Turcz.,157354-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene flos-cuculi,(L.) Greuter & Burdet,911444-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Silene flos-jovis,(L.) Greuter & Burdet,911445-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Silene gallica,L.,332106-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene greenei,(S.Watson ex B.L.Rob.) Howell,236284-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene indica,Roxb. ex Otth,157554-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene komarovii,Schischk.,157611-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Silene laciniata,Cav.,30096089-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene latifolia,Poir.,157647-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene laxantha,Majumdar,157651-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene menziesii,Hook.,157803-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene noctiflora,L.,304203-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene nutans,L.,157927-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Silene pendula,L.,158042-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Silene primuliflora,Eckl. & Zeyh.,158125-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene scouleri,Hook.,30008537-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene secundiflora,Otth,158344-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene setaesperma,Majumdar,158367-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene sinensis,(Lour.) H.Ohashi & H.Nakai,992177-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS)
Silene stellata,(L.) W.T.Aiton,158428-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene stracheyi,Edgew.,158448-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene undulata,Aiton,158583-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene uniflora,Roth,158590-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Silene virginica,L.,158643-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene viscidula,Franch.,158658-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Silene vulgaris,(Moench) Garcke,158668-1,Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Spergula arvensis,L.,158725-1,Animal Food; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Spergularia marina,(L.) Besser,241336-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Spergularia media,(L.) C.Presl,1019502-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Spergularia rubra,(L.) J.Presl & C.Presl,158983-1,Animal Food; Environmental Uses; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Spergularia villosa,(Pers.) Cambess.,159015-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Stellaria alsine,Grimm,30197752-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Stellaria aquatica,(L.) Scop.,159056-1,Animal Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Stellaria cuspidata,Willd. ex D.F.K.Schltdl.,244185-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Stellaria dichotoma,L.,159156-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Stellaria graminea,L.,310207-2,Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Stellaria media,(L.) Vill.,159330-1,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons,False,
Stellaria nemorum,L.,309327-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Stellaria patens,D.Don,159397-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Stellaria sikkimensis,Hook.f.,159465-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Stellaria vestita,Kurz,159518-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Thylacospermum caespitosum,(Cambess.) Schischk.,60466413-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Viscaria vulgaris,Röhl.,159789-1,Environmental Uses,False,
Atriplex aptera,A.Nelson,310737-2,Poisons,False,Germplasm Resources Information Network from USDA (GRIN)
Atriplex cana,C.A.Mey.,163698-1,Fuels,False,Germplasm Resources Information Network from USDA (GRIN)
Chenopodium olukondae,Murr,,Medicines,False,Medicinal Plant Names Services (MPNS)
Salsola tuberculata,Fenzl ex Moq.,167135-1,Animal Food; Social Uses,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Alluaudia ascendens,(Drake) Drake,316429-1,Fuels,False,Plant Resources for Tropical Africa (PROTA)
Alluaudia dumosa,(Drake) Drake,316431-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Alluaudia procera,(Drake) Drake,316435-1,Environmental Uses; Materials,False,Plant Resources for Tropical Africa (PROTA)
Calyptrotheca somalensis,Gilg,146235-1,Animal Food; Gene Sources; Human Food; Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Calyptrotheca taitensis,(Pax & Vatke) Brenan,698603-1,Animal Food; Materials,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Portulacaria namaquensis,Sond.,699418-1,Materials,False,
Dionaea muscipula,J.Ellis,275898-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drosera anglica,Huds.,321780-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drosera burmanni,Vahl,321803-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Drosera capillaris,Poir.,321807-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drosera filiformis,Raf.,30210809-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Drosera indica,L.,321866-1,Environmental Uses; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Drosera intermedia,Hayne,84157-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drosera lunata,Buch.-Ham. ex DC.,321886-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drosera madagascariensis,DC.,321892-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Drosera peltata,Thunb.,60449268-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drosera ramellosa,Lehm.,321951-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Drosera ramentacea,Burch. ex DC.,77177159-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Drosera rotundifolia,L.,319182-2,Environmental Uses; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Frankenia hirsuta,L.,366280-1,Environmental Uses,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Frankenia laevis,L.,366294-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Frankenia palmeri,S.Watson,366319-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Frankenia portulacifolia,(Roxb.) Spreng.,366330-1,Environmental Uses; Materials,False,Kew's Economic Botany Collection (EcBot); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Frankenia pulverulenta,L.,366332-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
