Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Encephalartos transvenosus,Stapf & Burtt Davy,297138-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Encephalartos trispinosus,(Hook.f.) R.A.Dyer,871785-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Encephalartos umbeluziensis,R.A.Dyer,297140-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Encephalartos villosus,Lem.,297144-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lepidozamia hopei,(W.Hill) Regel,297149-1,Environmental Uses; Human Food; Materials; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Lepidozamia peroffskyana,Regel,297151-1,Environmental Uses; Human Food; Materials; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Macrozamia communis,L.A.S.Johnson,871786-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Macrozamia douglasii,W.Hill ex F.M.Bailey,871788-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Macrozamia fawcettii,C.Moore,297167-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Macrozamia heteromera,C.Moore,297173-1,Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Macrozamia lucida,L.A.S.Johnson,871789-1,Environmental Uses; Poisons,False,Germplasm Resources Information Network from USDA (GRIN)
Macrozamia macdonnellii,(F.Muell. ex Miq.) A.DC.,59233-3,Medicines,False,Medicinal Plant Names Services (MPNS)
Macrozamia miquelii,(F.Muell.) A.DC.,297183-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Macrozamia moorei,F.Muell.,59481-3,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Macrozamia pauli-guilielmi,W.Hill & F.Muell.,297187-1,Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Macrozamia riedlei,(Dum.Cours.) C.A.Gardner,60072-3,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Macrozamia spiralis,(Salisb.) Miq.,297199-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Microcycas calocoma,(Miq.) A.DC.,1075555-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
