scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
garcinia oreophila,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia orthoclada,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia ovalifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,tree,,,,,,woody,,,,,,,,Materials; Medicines,False,Angola|Benin|Burkina Faso|Cameroon|Central African Republic|Chad|Congo|Côte dIvoire|Democratic Republic of the Congo|Ethiopia|Gabon|Guinea|Liberia|Mali|Nigeria|Senegal|Sierra Leone|South Sudan|Togo|Uganda,Middle Africa|Western Africa|Eastern Africa
garcinia pachyantha,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia pachycarpa,,,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,Environmental Uses; Fuels; Human Food; Materials; Medicines; Social Uses,False,Indonesia,South-eastern Asia
garcinia pachyclada,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,shrub,,,,,,woody,,,,,,,,,,Democratic Republic of the Congo|Mozambique|Zambia,Middle Africa|Eastern Africa
garcinia pachypetala,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia pacifica,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
garcinia pallida,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia pallide-sanguinea,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia pancheri,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Materials,False,New Caledonia,Melanesia
garcinia parvifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,W,,,,,,,,Human Food; Materials; Medicines,False,Brunei Darussalam|Indonesia|Malaysia|Singapore,South-eastern Asia
garcinia parvula,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia pauciflora,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Madagascar,Eastern Africa
garcinia paucinervis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,shrub,,,,,,,,,,,,,,,,China|Viet Nam,Eastern Asia|South-eastern Asia
garcinia pedicellata,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
garcinia pedunculata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,Materials; Medicines,False,Bangladesh|China|India|Lao People's Democratic Republic|Viet Nam,Southern Asia|Eastern Asia|South-eastern Asia
garcinia penangiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree/woody,,,,,,W,,,,,,,,,,Brunei Darussalam|Indonesia,South-eastern Asia
garcinia pervillei,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia petiolaris,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
garcinia picrorhiza,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,Environmental Uses; Fuels; Human Food; Materials; Medicines; Social Uses,False,Indonesia,South-eastern Asia
garcinia platyphylla,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Solomon Islands,Melanesia
garcinia plena,,,,,,,,,,,,,,,,,,,,,,,,,Thailand,South-eastern Asia
garcinia poilanei,,,,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
garcinia polyneura,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
garcinia ponapensis,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Micronesia (Federated States of),Micronesia
garcinia portoricensis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Puerto Rico,Caribbean
garcinia prainiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Human Food; Materials,False,Malaysia,South-eastern Asia
garcinia preussii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Cameroon|Equatorial Guinea|Gabon,Middle Africa
garcinia pseudoguttifera,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,T,,,,,,W,,,,,,,,Medicines,False,Fiji|Solomon Islands|Tonga|Vanuatu,Melanesia|Polynesia
garcinia puat,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
garcinia pullei,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia pulvinata,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,South America
garcinia punctata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,Gene Sources; Human Food; Materials; Medicines,False,Angola|Cameroon|Central African Republic|Congo|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Nigeria|Zambia,Middle Africa|Western Africa|Eastern Africa
garcinia pushpangadaniana,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
garcinia pyrifera,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Malaysia|Singapore,South-eastern Asia
garcinia quadrifaria,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Materials,False,Cameroon|Central African Republic|Congo|Côte dIvoire|Gabon|Ghana|Guinea|Liberia|Nigeria|Sierra Leone,Middle Africa|Western Africa
garcinia quadrilocularis,,,,,,,,,,,,,,,,,,,,,,,,,Micronesia (Federated States of),Micronesia
garcinia quaesita,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Sri Lanka,Southern Asia
garcinia ramosii,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
garcinia ramulosa,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia rheedei,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
garcinia rhizophoroides,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
garcinia rigida,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,tree/woody,,,,,,woody,,,,,,,,,,Indonesia,South-eastern Asia
garcinia riparia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Animal Food; Environmental Uses; Fuels; Human Food; Invertebrate Food; Materials,False,Papua New Guinea,Melanesia
garcinia robsoniana,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo|Zambia,Middle Africa|Eastern Africa
garcinia rostrata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,Materials,False,Indonesia|Malaysia|Myanmar|Singapore,South-eastern Asia
garcinia rubra,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,tree,,,,,,W,,,,,,,,Human Food,False,Philippines,South-eastern Asia
garcinia rubriflora,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia rumiyo,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Micronesia (Federated States of),Micronesia
garcinia rupestris,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia sabangensis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia salakensis,,,,,,,,,tree/woody,,,,,,W,,,,,,,,,,Indonesia,South-eastern Asia
garcinia samarensis,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
garcinia sampitana,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia sangudsangud,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
garcinia scaphopetala,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea|Solomon Islands,Melanesia
garcinia schomburgkiana,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Cambodia|Thailand|Viet Nam,South-eastern Asia
garcinia schraderi,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree/woody,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Materials; Social Uses,False,Papua New Guinea,Melanesia
garcinia scortechinii,,,,,,,,,tree,,,,,,W,,,,,,,,,,Malaysia|Singapore,South-eastern Asia
garcinia semseii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,United Republic of Tanzania,Eastern Africa
garcinia serpentini,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
garcinia sessilis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,Medicines,False,Fiji|Solomon Islands,Melanesia
garcinia sibeswarii,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
garcinia sizygiifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Human Food; Materials,False,Indonesia|Malaysia,South-eastern Asia
garcinia sopsopia,,,,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Bangladesh|Bhutan|India|Myanmar|Nepal,Southern Asia|South-eastern Asia
garcinia spectabilis,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
garcinia spicata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Materials; Medicines,False,India|Sri Lanka,Southern Asia
garcinia squamata,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia staudtii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Cameroon|Nigeria,Middle Africa|Western Africa
garcinia stigmacantha,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
garcinia stipulata,,,,,,,,,,,,,,,,,,,,,,,Materials,False,Bhutan|India,Southern Asia
garcinia subelliptica,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,W,,,,,,,,,,"Japan|Philippines|Taiwan, Province of China",Eastern Asia|South-eastern Asia
garcinia subfalcata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
garcinia subtilinervis,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia succifolia,,,,,,,,,,,,,,,,,,,,,,,,,India|Myanmar,Southern Asia|South-eastern Asia
garcinia sulphurea,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
garcinia talbotii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,India,Southern Asia
garcinia tanzaniensis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,tree,,,,,,1,,,,,,,,,,United Republic of Tanzania,Eastern Africa
garcinia terpnophylla,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,Materials,False,Sri Lanka,Southern Asia
garcinia tetralata,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
garcinia tetrandra,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Materials,False,Indonesia|Philippines,South-eastern Asia
garcinia teysmanniana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Social Uses,False,Papua New Guinea,Melanesia
garcinia thorelii,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,,,Lao People's Democratic Republic,South-eastern Asia
garcinia thouvenotii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia thwaitesii,,,,,,,,,,,,,,,,,,,,,,,,,Sri Lanka,Southern Asia
garcinia tonkinensis,,,,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
garcinia torensis,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia travancorica,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,India,Southern Asia
garcinia treubii,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia tsaratananae,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia tsimatimia,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia tuberculata,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia umbellulata,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
garcinia umbonata,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia uniflora,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,tree/woody,,,,,,W,,,,,,,,,,Malaysia,South-eastern Asia
garcinia urophylla,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
garcinia urschii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
garcinia valetoniana,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia venulosa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,,,,,,,,,Human Food; Materials,False,Philippines,South-eastern Asia
garcinia verrucosa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,,,Madagascar,Eastern Africa
garcinia versteegii,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
garcinia verticillata,,,,,,,,,,,,,,,,,,,,,,,,,Dominican Republic|Haiti,Caribbean
garcinia vidalii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Human Food,False,Philippines,South-eastern Asia
garcinia vidua,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,Materials,False,Malaysia,South-eastern Asia
garcinia vieillardii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Medicines,False,New Caledonia,Melanesia
garcinia vilersiana,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,,,,,,,,,Medicines,False,Cambodia|Lao People's Democratic Republic|Thailand|Viet Nam,South-eastern Asia
garcinia virgata,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
garcinia viridiflora,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia vitiensis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,W,,,,,,,,,,Fiji|Solomon Islands|Vanuatu,Melanesia
garcinia volkensii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9),,,,,,,tree,,,,,,woody,,,,,,,,Materials,False,Burundi|Democratic Republic of the Congo|Kenya|Malawi|Mozambique|Rwanda|United Republic of Tanzania|Zambia,Eastern Africa|Middle Africa
garcinia vriesiana,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia warburgiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Fuels; Materials; Social Uses,False,Papua New Guinea,Melanesia
garcinia warrenii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,W,,,,,,,,Human Food,False,Australia|Papua New Guinea,Australia and New Zealand|Melanesia
garcinia wightii,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,India,Southern Asia
garcinia wollastonii,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia xanthochymus,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Bangladesh|Bhutan|Cambodia|China|India|Indonesia|Lao People's Democratic Republic|Malaysia|Myanmar|Nepal|Philippines|Thailand|Viet Nam,Southern Asia|South-eastern Asia|Eastern Asia
garcinia xipshuanbannaensis,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
garcinia xylosperma,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
garcinia yunnanensis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
garcinia zeylanica,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Medicines,False,Sri Lanka,Southern Asia
lebrunia bushaie,,,,,,,,,,,,,,,W,,,,,,,,,,Democratic Republic of the Congo,Middle Africa
lorostemon coelhoi,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
lorostemon negrense,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,,
lorostemon stipitatus,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Colombia,South America
montrouziera cauliflora,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
montrouziera gabriellae,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
montrouziera sphaeroidea,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,W,,,,,,,diffuse,,,New Caledonia,Melanesia
moronobea candida,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
moronobea coccinea,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,Materials; Medicines,False,Brazil|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
moronobea intermedia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|Guyana|Venezuela (Bolivarian Republic of),South America
moronobea jenmanii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,French Guiana|Guyana|Venezuela (Bolivarian Republic of),South America
moronobea ptaritepuiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Guyana|Venezuela (Bolivarian Republic of),South America
moronobea pulchra,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Brazil,South America
moronobea riparia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Guyana|Venezuela (Bolivarian Republic of),South America
pentadesma butyracea,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,Angola|Benin|Burkina Faso|Cameroon|Congo|Côte dIvoire|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Ghana|Guinea|Guinea-Bissau|Liberia|Mali|Nigeria|Sao Tome and Principe|Sierra Leone|Togo,Middle Africa|Western Africa
pentadesma grandifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,Gene Sources; Human Food,False,Cameroon|Equatorial Guinea|Gabon|Nigeria,Middle Africa|Western Africa
pentadesma lebrunii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,tree/woody,,,,,,W,,,,,,,,,,Democratic Republic of the Congo,Middle Africa
pentadesma reyndersii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo|Rwanda,Middle Africa|Eastern Africa
platonia insignis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,Fuels; Human Food; Materials; Medicines,False,Brazil|Colombia|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
symphonia eugenioides,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,woody,,,,,,,,,,Madagascar,Eastern Africa
symphonia fasciculata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,Fuels; Human Food; Materials,False,Madagascar,Eastern Africa
symphonia globulifera,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,perennial,,woody,,,,,,,,Environmental Uses; Fuels; Materials; Medicines,False,Angola|Belize|Benin|Bolivia (Plurinational State of)|Brazil|Burundi|Cameroon|Chad|Colombia|Congo|Costa Rica|Côte dIvoire|Democratic Republic of the Congo|Dominica|Ecuador|Equatorial Guinea|French Guiana|Gabon|Ghana|Guadeloupe|Guatemala|Guyana|Haiti|Honduras|Jamaica|Liberia|Madagascar|Mexico|Nicaragua|Nigeria|Panama|Peru|Rwanda|Saint Lucia|Sao Tome and Principe|Sierra Leone|Suriname|Togo|Trinidad and Tobago|Uganda|United Republic of Tanzania|Venezuela (Bolivarian Republic of)|Zambia,Middle Africa|Central America|Western Africa|South America|Eastern Africa|Caribbean
symphonia gymnoclada,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia lepidocarpa,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia linearis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia louvelii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,woody,,,,,,,,Fuels; Gene Sources; Human Food; Materials; Medicines,False,Madagascar,Eastern Africa
symphonia microphylla,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Madagascar,Eastern Africa
symphonia nectarifera,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia oligantha,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia pauciflora,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,,,Madagascar,Eastern Africa
symphonia sessiliflora,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia tanalensis,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,W,,,,,,,,Fuels; Gene Sources; Human Food; Materials,False,Madagascar,Eastern Africa
symphonia urophylla,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
symphonia verrucosa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
thysanostemon fanshawei,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Guyana,South America
tovomita acutiflora,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
tovomita albiflora,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Guyana|Venezuela (Bolivarian Republic of),South America
tovomita amazonica,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|Guyana|Peru|Suriname,South America
tovomita atropurpurea,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
tovomita auriculata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,trees,,,,,,,,,,,,,,,,Peru|Venezuela (Bolivarian Republic of),South America
tovomita brevistaminea,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil,South America
tovomita calodictyos,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil|French Guiana|Guyana,South America
tovomita caloneura,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|French Guiana|Guyana|Peru,South America
tovomita calophyllophylla,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,woody,,,,,,,,,,Colombia|Peru,South America
tovomita carinata,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,Medicines,False,Brazil|French Guiana|Guyana|Suriname,South America
tovomita clarkii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
tovomita clusiiflora,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil|Colombia|Peru,South America
tovomita colombiana,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,South America
