SpeciesName,Flower color,Flower sex,Flowering lag time: number of days from exposition start to flowering,Flowering requirement (requirement for fertility),Fruit type,Plant flowering,Plant growth form,Plant growth temperature range,Plant height,Plant human usage types,Plant lifespan (longevity),Plant lifespan: age trees reach in forested stands,Plant woodiness,Seed germination base temperature,Seed germination base water potential,Seed germination lag time,Seed germination requirement,Seed germination temperature,Seed germination type,Wood growth ring distinction
#Acacia baileyana F.Muell.,,,,,dry,,,,,,,,,,,,,,,
#Acacia dealbata Link,,,,,dry,,,,,,,,,,,,,,,
#Acacia decurrens Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia elata A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia iteaphylla F.Muell. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia longifolia (Andrews) Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia mearnsii De Wild.,,,,,dry,,,,,,,,,,,,,,,
#Acacia podalyriifolia A.Cunn. ex G.Don,,,,,dry,,,,,,,,,,,,,,,
#Acacia pycnantha Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia saligna (Labill.) H.L.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Acacia spectabilis A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Hakea sericea Schrad. & J.C.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Senna barclayana (Sweet) Randell,,,,,dry,,,,,,,,,,,,,,,
Ceropegia purpurascens,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia purpurascens K. Schum.,brown,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia racemosa N.E.Br.,purple,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia radicans,,,,,,,Free-standing,,,,,,,,,,,,,
Ceropegia rendallii,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia rhynchantha Schltr.,brown,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia rudatisii,,,,,,,Free-standing,,,,,,,,,,,,,
Ceropegia sandersonii,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia sankurensis,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia sankuruensis,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia sankuruensis Schltr.,brown,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia santapaui,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia schumanniana,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia simoneae Rauh,green,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia sobolifera,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia sobolifera N.E. Br.,brown,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia sobolifera var. nephroloba Huber,brown,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia sp,,,,,,,climber/succulent,,,,perennial,,non-woody,,,,,,,
Ceropegia stapeliiformis,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia stenantha,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia stenantha K.Schum.,green,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia stenoloba,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia stenoloba Hochst. ex Chiov.,green,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia stentiae,,,,,,,Free-standing,,,,,,,,,,,,,
Ceropegia swaziorum,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia talbotii,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia thwaitesii,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia tomentosa,,,,,,,Free-standing,,,,,,,,,,,,,
Ceropegia tourana,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia turricula,,,,,,,Free-standing,,,,,,,,,,,,,
Ceropegia verticillata Masinde,brown,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia woodii,,,,,,,No,,,,,,variable,,,,,,,
Ceropegia yorubana,,,,,,,Climber,,,,,,,,,,,,,
Ceropegia yorubana Schltr.,green,,,,follicle,,climber or creeper,,,,,,,,,,,,,
Ceropegia zeyheri,,,,,,,Climber,,,,,,,,,,,,,
Cerothamnus caroliniensis,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Cerothamnus ceriferus,,,,,,,"Tree, Subshrub, Shrub",,,,,,,,,,,,,
Cerothamnus inodorus,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Cerothamnus pumilus,,,,,,,"Tree, Subshrub, Shrub",,,,,,,,,,,,,
Ceroxylon,,,,,,,P,,,,,,,,,,,,,
Ceroxylon alpinum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon amazonicum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon ceriferum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon echinulatum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon klopstockia,,,,,,,woody,,,,,,woody,,,,,,,
Ceroxylon parvifrons,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon parvum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon peruvianum,,,,,,,Free-standing,,,,,,,,,,,,,
Ceroxylon pityrophyllum,,,,,,,Free-standing,,,,,,,,,,,,,
Ceroxylon quindiuense,,,,,,,Free-standing,,,,,,W,,,,,,,
Ceroxylon sasaimae,,,,,,,Free-standing,,,,,,W,,,,,,,
Ceroxylon ventricosum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon verruculosum,,,,,,,Tree,,,,,,,,,,,,,
Ceroxylon vogelianum,,,,,,,Tree,,,,,,W,,,,,,,
Ceroxylon weberbaueri,,,,,,,Tree,,,,,,W,,,,,,,
Ceruana pratensis,,,,,,,herb/shrub,,,,,,non-woody/woody,,,,,,,
Cervantesia bicolor,,,,,,,Tree,,,,,,W,,,,,,,
Cervantesia bicolor Cav.,,hermaphrodite,,,,,,,,,perennial,,W,,,,,,,
Cervantesia colombiana,,,,,,,woody,,,,,,W,,,,,,,
Cervantesia macrocarpa Cuatrec.,,hermaphrodite,,,,,,,,,perennial,,,,,,,,,
Cervantesia tomentosa,,,,,,,Tree,,,,,,W,,,,,,,
Cervantesia tomentosa Ruiz & Pav.,,hermaphrodite,,,,,tree,,,,perennial,,W,,,,,,,
Cervaria rivini,,,,,,,,,,,perennial,,,,,,,,,
Cespedesia macrophylla,,,,,,,tree,,,,perennial,,woody,,,,,,,
Cespedesia macrophylla Seem.,,,,,Dehiscent capsule,,Tree,,,,,,,,,,,,,
Cespedesia sp,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Cespedesia spathulata,,,,,,,tree,,,,,,woody,,,,,,,
Cespedesia spathulata (Ruiz & Pav.) G.Planch.,,,,,,,No,,,,,,,,,,,,,
Cespedezia macrophylla,,,,,,,tree,,,,,,woody,,,,,,,
Cespedezia spathulata,,,,,,,tree,,,,,,woody,,,,,,,
Cestichis platybolba,,,,,,,Herb (H),,,,,,,,,,,,,
Cestrum  sp.1,,,,,,,Tree,,,,,,,,,,,,,
Cestrum 8377,,,,,,,tree,,,,perennial,,,,,,,,,
Cestrum NA,,,,,,,"Shrub,Tree,Vine",,,,,,,,,,,,,
Cestrum acuminatissimum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum affine,,,,,,,trees,,,,,,,,,,,,,
Cestrum albo-punctatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum albotomentosum,,,,,,,trees,,,,,,,,,,,,,
Cestrum album,,,,,,,trees,,,,,,,,,,,,,
Cestrum alternifolium,,,,,,,Shrub,,,,,,woody,,,,,,,
Cestrum amictum,,,,,,,trees,,,,,,,,,,,,,
Cestrum amygdalifolium,,,,,,,trees,,,,,,,,,,,,,
Cestrum anagyris,,,,,,,Tree,,,,,,,,,,,,,
Cestrum angustifolium,,,,,,,trees,,,,,,,,,,,,,
Cestrum atroxacanthum,,,,,,,trees,,,,,,,,,,,,,
Cestrum aurantiacum,,,,,,,Tree (evergreen),,,,,,,,,,,,,
Cestrum auriculatum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum axillare,,,,,,,Tree,,,,,,,,,,,,,
Cestrum axillare Vell.,,,,,,,No,,,,,,,,,,,,,
Cestrum baenitzii,,,,,,,trees,,,,,,,,,,,,,
Cestrum bigibbosum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum bracteatum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum buxifolium,,,,,,,trees,,,,,,,,,,,,,
Cestrum calicynum,,,,,,,shrub,,,,,,,,,,,,,
Cestrum calycinum,,,,,,,trees,,,,,,,,,,,,,
Cestrum campestre,,,,,,,trees,,,,,,,,,,,,,
Cestrum cancellatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum chaculanum,,,,,,,trees,,,,,,,,,,,,,
Cestrum chimborazinum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum chiriquianum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum chlamidatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum cobanense,,,,,,,Tree,,,,,,,,,,,,,
Cestrum confertifolium,,,,,,,trees,,,,,,,,,,,,,
Cestrum confertum,,,,,,,trees,,,,,,,,,,,,,
Cestrum conglomeratum,,,,,,,trees,,,,,,,,,,,,,
Cestrum corcovadense,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum cordatum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum coriaceum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum corymbosum,,,,,,,trees,,,,,,,,,,,,,
Cestrum costaricense,,,,,,,Tree,,,,,,,,,,,,,
Cestrum crassinervium,,,,,,,trees,,,,,,,,,,,,,
Cestrum cultum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum cuneatum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum cuneifolium,,,,,,,Tree,,,,,,,,,,,,,
Cestrum cuspidatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum densiflorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum depauperatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum dielsii,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum diurnum,,,,,,,tree,,,,,,woody,,,,,,,
Cestrum donnell-smithii,,,,,,,trees,,,,,,,,,,,,,
Cestrum dumetorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum dunalii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum ecuadorense,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum elegans,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum elegantissimum,,,,,,,trees,,,,,,,,,,,,,
Cestrum ellipticum,,,,,,,trees,,,,,,,,,,,,,
Cestrum endlicheri,,,,,,,Tree,,,,,,,,,,,,,
Cestrum endresii,,,,,,,trees,,,,,,,,,,,,,
Cestrum eriochiton,,,,,,,trees,,,,,,,,,,,,,
Cestrum euanthes,,,,,,,Tree,,,,,,,,,,,,,
Cestrum evanidum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum falcatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum fasciculatum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum fasciculiflorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum flavescens,,,,,,,Tree,,,,,,,,,,,,,
Cestrum flavinervium,,,,,,,trees,,,,,,,,,,,,,
Cestrum flavovirens,,,,,,,trees,,,,,,,,,,,,,
Cestrum floribundum,,,,,,,trees,,,,,,,,,,,,,
Cestrum foliosum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum formosum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum fragile,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum fraternum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum galeottianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum gardneri,,,,,,,Tree,,,,,,,,,,,,,
Cestrum glabrescens,,,,,,,Tree,,,,,,,,,,,,,
Cestrum glabrum,,,,,,,trees,,,,,,,,,,,,,
Cestrum glanduliferum,,,,,,,trees,,,,,,,,,,,,,
Cestrum glaucophyllum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum glomeratum,,,,,,,trees,,,,,,,,,,,,,
Cestrum granadense,,,,,,,trees,,,,,,,,,,,,,
Cestrum grandistipulum,,,,,,,trees,,,,,,,,,,,,,
Cestrum guaraniticum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum guatemalense,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum hartwegii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum hassleri,,,,,,,Tree,,,,,,,,,,,,,
Cestrum hediundinum,,,,,,,trees,,,,,,,,,,,,,
Cestrum hirtum,,,,,,,shrub,,,,,,woody,,,,,,,
Cestrum humboldtii,,,,,,,trees,,,,,,,,,,,,,
Cestrum intermedium,,,,,,,trees,,,,,,,,,,,,,
Cestrum irazuense,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum johnniegentrianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum laevifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum laevigatum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum lamberti,,,,,,,trees,,,,,,,,,,,,,
Cestrum lanatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum langeanum,,,,,,,trees,,,,,,,,,,,,,
Cestrum lanuginosum,,,,,,,trees,,,,,,,,,,,,,
Cestrum lasianthum,,,,,,,trees,,,,,,,,,,,,,
Cestrum latifolium,,,,,,,shrub,,,,,,woody,,,,,,,
Cestrum latifolium Lam.,,,,,,,No,,,,,,,,,,,,,
Cestrum laurifolium,,,,,,,Tree,,,,,,,,,,,,,
Cestrum laxiflorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum laxum,,,,,,,trees,,,,,,,,,,,,,
Cestrum leptanthum,,,,,,,trees,,,,,,,,,,,,,
Cestrum lewisii,,,,,,,trees/Shrub,,,,,,,,,,,,,
Cestrum lindenii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum longiflorum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum lorentzianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum loretense,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum lucidum,,,,,,,trees,,,,,,,,,,,,,
Cestrum lundianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum luridum,,,,,,,trees,,,,,,,,,,,,,
Cestrum luteo-virescens,,,,,,,trees,,,,,,,,,,,,,
Cestrum luteovirescens,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum lycioides,,,,,,,trees,,,,,,,,,,,,,
Cestrum macbridei,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum macrophyllum,,,,,,,shrub,,,,,,woody,,,,,,,
Cestrum mariquitense,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum mariquitense Kunth,,,,,,,No,,,,,,,,,,,,,
Cestrum martii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum martii Sendtn.,,,,,,,No,,,,,,,,,,,,,
Cestrum megalophyllu,,,,,,,shrub,,,,,,,,,,,,,
Cestrum megalophyllum,,,,,,,shrub,,,,,,woody,,,,,,,
Cestrum megalophyllum Dunal,,,,,,,SHRUB/TREE,,,,,,,,,,,,,
Cestrum melanochloranthum,,,,,,,trees,,,,,,,,,,,,,
Cestrum meridanum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum mexicanum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum micans,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum microcalyx,,,,,,,trees,,,,,,,,,,,,,
Cestrum microphyllum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum miradorense,,,,,,,trees,,,,,,,,,,,,,
Cestrum montanum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum moquinianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum morae,,,,,,,trees,,,,,,,,,,,,,
Cestrum moritzianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum moritzii,,,,,,,trees,,,,,,,,,,,,,
Cestrum multinervium,,,,,,,trees,,,,,,,,,,,,,
Cestrum mutisii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum neblinense,,,,,,,Tree,,,,,,,,,,,,,
Cestrum nemanthum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum nitidum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum nocturnum,,,,,,,shrub,,,,perennial,,woody,,,,,,,
Cestrum nocturnum L.,blanco,,,,,,tree,,,,,,,,,,,,,
Cestrum oblongifolium,,,,,,,Tree,,,,,,,,,,,,,
Cestrum obovatum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum obovatum Sendtn.,,,,,,,No,,,,,,,,,,,,,
Cestrum obscurum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum ochraceum,,,,,,,trees,,,,,,,,,,,,,
Cestrum oliganthum,,,,,,,trees,,,,,,,,,,,,,
Cestrum ovalifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum ovatolanceolatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum pacayense,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum panamense,,,,,,,trees,,,,,,,,,,,,,
Cestrum paniculatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum parqui,,,,,,,Shrub,,,,,,woody,,,,,,,
Cestrum parqui LHér.,,,,,,,No,,,,,,,,,,,,,
Cestrum parqui LHér.,,,,,,,e N,,,,2.0,,,,,,,,,2
Cestrum parquii,,,,,,,shrub,,,,,,,,,,,,,
Cestrum parvifolium,,,,,,,trees,,,,,,,,,,,,,
Cestrum pauciflorum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum pedicellatum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum pedicellatum Sendtn.,,,,,,,No,,,,,,,,,,,,,
Cestrum pedunculare,,,,,,,trees,,,,,,,,,,,,,
Cestrum perilambanon,,,,,,,trees,,,,,,,,,,,,,
Cestrum persicaefolium,,,,,,,trees,,,,,,,,,,,,,
Cestrum peruvianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum petiolare,,,,,,,Tree,,,,,,,,,,,,,
Cestrum plicatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum poasanum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum poasanum Donn. Sm.,,,,,,,Tree,,,,,,,,,,,,,
Cestrum poeppigii,,,,,,,trees,,,,,,,,,,,,,
Cestrum polyanthum,,,,,,,trees,,,,,,,,,,,,,
Cestrum potaliifolium,,,,,,,Tree,,,,,,,,,,,,,
Cestrum prieurei,,,,,,,trees,,,,,,,,,,,,,
Cestrum pseudo-quina,,,,,,,trees,,,,,,,,,,,,,
Cestrum pseudopedicellatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum quitense,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum racemosum,,,,,,,tree,,,,,,woody,,,,,,,
Cestrum raimondianum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum reflexum,,,,,,,tree,,,,perennial,,woody,,,,,,,
Cestrum reflexum Sendtn.,,,,,,,No,,,,,,,,,,,,,
Cestrum regelii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum retrofractum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum retrofractum Dunal,,,,,,,No,,,,,,,,,,,,,
Cestrum rigidum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum rojasianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum roseum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum rugulosum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum salicifolium,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum salzmanni,,,,,,,trees,,,,,,,,,,,,,
Cestrum salzmannii,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum salzmannii Dunal,,,,,,,No,,,,,,,,,,,,,
Cestrum scandens,,,,,,,trees,,,,,,,,,,,,,
Cestrum schlechtendahlii,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum schlechtendalii,,,,,,,trees,,,,,,,,,,,,,
Cestrum schlechtendalii G.Don,,,,,,,No,,,,,,,,,,,,,
Cestrum schulzianum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum sellowianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum semivestitum,,,,,,,trees,,,,,,,,,,,,,
Cestrum sendtnerianum,,,,,,,trees,,,,,,,,,,,,,
Cestrum sessiliflorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum silvaticum,,,,,,,tree,,,,,,,,,,,,,
Cestrum sp,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Cestrum sp.1,,,,,,,Tree,,,,,,,,,,,,,
Cestrum sprucei,,,,,,,trees,,,,,,,,,,,,,
Cestrum standleyi,,,,,,,trees/Tree,,,,,,,,,,,,,
Cestrum strictum,,,,,,,trees,,,,,,,,,,,,,
Cestrum strigilatum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum strigilatum Ruiz & Pav.,,,,,,,No,,,,,,,,,,,,,
Cestrum strigillatum,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Cestrum strigillatum R.et P.,,,,,,,shru,,,,,,,,,,,,,
Cestrum stuebelii,,,,,,,Tree,,,,,,,,,,,,,
Cestrum subcordatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum subpulverulentum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum subtriflorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum subumbellatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum subuniflorum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum sylvaticum,,,,,,,trees,,,,,,,,,,,,,
Cestrum tenuiflorum,,,,,,,trees,,,,,,,,,,,,,
Cestrum tenuifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum tenuissimum,,,,,,,trees,,,,,,,,,,,,,
Cestrum terminale,,,,,,,trees,,,,,,,,,,,,,
Cestrum thyrsoideum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum tomentosum,,,,,,,tree,,,,,,,,,,,,,
Cestrum tubulosum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum tubulosum Sendtn.,,,,,,,No,,,,,,,,,,,,,
Cestrum umbrosum,,,,,,,trees,,,,,,,,,,,,,
Cestrum undulatum,,,,,,,Tree,,,,,,,,,,,,,
Cestrum unibracteatum,,,,,,,trees,,,,,,,,,,,,,
Cestrum validum,,,,,,,trees,,,,,,,,,,,,,
Cestrum velutinum,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum velutinum Hiern,,,,,,,No,,,,,,,,,,,,,
Cestrum vestioides,,,,,,,trees,,,,,,,,,,,,,
Cestrum viminale,,,,,,,trees,,,,,,,,,,,,,
Cestrum viride,,,,,,,trees,,,,,,,,,,,,,
Cestrum viridifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cestrum warscewiczii,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum warszewiczii,,,,,,,Shrub,,,,,,,,,,,,,
Cestrum weberbaueri,,,,,,,Free-standing,,,,,,,,,,,,,
Ceterach aurea,,,,,,,Herb,,,,,,,,,,,,,
Ceterach cordatum,,,,,,,herb,,,,,,H,,,,,,,
Ceterach dalhousiae,,,,,,,Forb/herb,,,,,,,,,,,,,
Ceterach officinarum,,hermaphroditic,,,,,fern,,,,perennial,,0,,,,,,,
Ceterach officinarum aggr.,,,,,,,,,,,perennial,,,,,,,,,
Cetraria aculeata,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria arenaria,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria cucullata,,,,,,,lichen/non-woody,,,,,,0,,,,0,,,
Cetraria ericetorum,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria ericetorum ssp. ericetorum,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria ericetorum ssp. reticulata,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria islandica,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria islandica ssp. crispiformis,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria islandica ssp. islandica,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria islandica ssp. orientalis,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria kamczatica,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria laevigata,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria muricata,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria nigricans,,,,,,,Lichenous,,,,,,,,,,,,,
Cetraria odontella,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrariella delisei,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrariella fastigiata,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrelia alaskana,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrelia cetrarioides,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrelia chicitae,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrelia monachorum,,,,,,,Lichenous,,,,,,,,,,,,,
Cetrelia olivetorum,,,,,,,Lichenous,,,,,,,,,,,,,
Ceuthostoma palawanense,,,,,,,Free-standing,,,,,,W,,,,,,,
Ceuthostoma terminale,,,,,,,Free-standing,,,,,,W,,,,,,,
Cevallia NA,,,,,,,"Forb/herb,Subshrub",,,,,,,,,,,,,
Cevallia sinuata,,,,,,,herb,,,,perennial,,variable,,,,,,,
Chacoa pseudoprasiifolia,,,,,,,Herb,,,,,,,,,,,,,
Chadsia coluteifolia,,,,,,,shrub,,,,perennial,,woody,,,,,,,
Chadsia flammea,,,,,,,Free-standing,,,,,,,,,,,,,
Chadsia grevei,,,,,,,shrub,,,,,,woody,,,,,,,
Chadsia irodoensis,,,,,,,Free-standing,,,,,,,,,,,,,
Chadsia longidentata,,,,,,,Free-standing,,,,,,,,,,,,,
Chadsia magnifica,,,,,,,Free-standing,,,,,,,,,,,,,
Chadsia racemosa,,,,,,,Free-standing,,,,,,,,,,,,,
Chadsia salicina,,,,,,,Free-standing,,,,,,,,,,,,,
Chadsia versicolor,,,,,,,shrub,,,,,,W,,,,,,,
Chaenactis NA,,,,,,,"Forb/herb,Subshrub",,,,,,,,,,,,,
Chaenactis alpigena,,,,,,,Herb,,,,,,,,,,,,,
Chaenactis alpina,,,,,,,non-succulent,,,,perennial,,non-woody,,,,,,,
Chaenactis angustifolia,,,,,,,Forb/herb,,,,,,,,,,,,,
Chaenactis artemisiaefolia,,,,,,,herb,,,,,,non-woody,,,,,,,
Chaenactis artemisiifolia,,,,,,,Herb,,,,annual,,non-woody,,,,,,,
Chaenactis brachiata,,,,,,,Forb/herb,,,,,,,,,,,,,
Chaenactis carphoclinia,,,,,,,Herb,,,,annual,,non-woody,,,,,,,
Chaenactis carphoclinia var. carphoclinia,,,,,,,Forb/herb,,,,,,,,,,,,,
Chaenactis carphoclinia var. peirsonii,,,,,,,Forb/herb,,,,,,,,,,,,,
Chaenactis cineria,,,,,,,Forb/herb,,,,,,,,,,,,,
Chaenactis cusickii,,,,,,,Herb,,,,,,,,,,,,,
Chaenactis douglasii,,,,,,,herb,,,,perennial,,non-woody,,,,,,,
Chaenactis douglasii (Hook.) H. & A.,,,,,,,herb,,,,,,,,,,,,,
Chaenactis douglasii (Hook.) Hook. & Arn.,White,,,Low,,,Forb/herb,,,No,"Biennial, Perennial",,,,,,No,,,
Chaenactis douglasii (Hook.) Hook. et Arn.,,,,,,,a T,,,,1.0,,,,,,,,,5
Chaenactis douglasii var. alpina,,,,,,,Forb/herb,,,,,,,,,,,,,
Chaenactis douglasii var. douglasii,,,,,,,Forb/herb,,,,,,,,,,,,,
