species|n|Q05|Q95|A|C|D|E|F|A18
Abuta sandwithiana|53|12|12|1|0|0|0|0|0
Abuta velutina|29|12|12|1|0|0|0|0|0
Abutilon densiflorum|96|12|12|1|0|0|0|0|0
Abutilon giganteum|27|12|12|1|0|0|0|0|0
Abutilon grandidentatum|13|12|12|1|0|0|0|0|0
Abutilon grewiifolium|1|12|12|1|0|0|0|0|0
Abutilon haenkeanum|14|12|12|1|0|0|0|0|0
Abutilon herzogianum|17|12|12|1|0|0|0|0|0
Abutilon incanum|523|9.1|12|2|3|0|0|0|0
Abutilon myrianthum|18|2.44|12|2|9|9|3|0|0
Abutilon pyramidale|3|12|12|1|0|0|0|0|0
Abutilon ramiflorum|77|12|12|1|0|0|0|0|0
Abutilon sachetianum|4|12|12|1|0|0|0|0|0
Abutilon stenopetalum|4|12|12|1|0|0|0|0|1
Abutilon thyrsodendron|21|12|12|1|0|0|0|0|0
Abutilon virginianum|4|5|12|2|9|3|0|0|0
Abutilon whistleri|2|12|12|1|0|0|0|0|0
Acacia acradenia|526|12|12|1|0|0|0|0|0
Acacia acrionastes|31|11|12|2|3|0|0|0|0
Acacia aculeatissima|13|12|12|1|0|0|0|0|0
Acacia acuminata|918|11.03|12|2|3|0|0|0|0
Acacia adsurgens|682|12|12|1|0|0|0|0|0
Acacia adunca|110|8.1|11|0|1|0|0|0|0
Acacia aestivalis|83|11.09|12|2|3|0|0|0|0
Acacia alleniana|262|12|12|1|0|0|0|0|0
Acacia amblyophylla|9|12|12|1|0|0|0|0|0
Acacia ammobia|81|12|12|1|0|0|0|0|0
Acacia ammophila|28|12|12|1|0|0|0|0|0
Acacia ampliata|8|12|12|1|0|0|0|0|0
Acacia ampliceps|220|12|12|1|0|0|0|0|0
Acacia anastema|27|12|12|1|0|0|0|0|0
Acacia anaticeps|37|12|12|1|0|0|0|0|0
Acacia ancistrocarpa|789|12|12|1|0|0|0|0|0
Acacia aneura|5854|10.85|12|2|3|0|0|0|0
Acacia anfractuosa|78|11|12|2|3|0|0|0|0
Acacia angusta|67|11.09|12|2|3|0|0|0|0
Acacia anthochaera|125|12|12|1|0|0|0|0|0
Acacia aprepta|67|12|12|1|0|0|0|0|0
Acacia aptaneura|650|11.09|12|2|3|0|0|0|0
Acacia arafurica|25|12|12|1|0|0|0|0|0
Acacia araneosa|39|11|12|2|3|0|0|0|0
Acacia argyraea|122|12|12|1|0|0|0|0|0
Acacia argyrodendron|70|12|12|1|0|0|0|0|0
Acacia armillata|23|12|12|1|0|0|0|0|0
Acacia armitii|26|12|12|1|0|0|0|0|0
Acacia assimilis|420|11.03|12|2|3|0|0|0|0
Acacia atopa|13|12|12|1|0|0|0|0|0
Acacia attenuata|61|12|12|1|0|0|0|0|0
Acacia aulacocarpa|598|9.29|12|2|3|0|0|0|0
Acacia auriculiformis|1546|12|12|1|0|0|0|0|0
Acacia auripila|3|12|12|1|0|0|0|0|0
Acacia ausfeldii|277|8.09|9|0|1|0|0|0|0
Acacia axillaris|148|4.24|7.99|0|0|1|0|0|0
Acacia ayersiana|343|11.06|12|2|3|0|0|0|0
Acacia baileyana|2394|6.89|12|2|9|3|0|0|0
Acacia bakeri|159|12|12|1|0|0|0|0|0
Acacia bancroftiorum|275|11.09|12|2|3|0|0|0|0
Acacia barrettiorum|7|12|12|1|0|0|0|0|0
Acacia beauverdiana|112|11|12|2|3|0|0|0|0
Acacia binervata|1327|8.57|12|2|3|0|0|0|0
Acacia binervia|733|8.54|12|2|3|0|0|0|0
Acacia blakei|591|8.24|12|2|3|0|0|0|0
Acacia blakelyi|258|12|12|1|0|0|0|0|0
Acacia blayana|22|7.6|11.96|0|2|3|0|0|0
Acacia brachystachya|539|11.05|12|2|3|0|0|0|0
Acacia brassii|110|12|12|1|0|0|0|0|0
Acacia brockii|48|12|12|1|0|0|0|0|0
Acacia bromilowiana|17|12|12|1|0|0|0|0|0
Acacia brumalis|82|11.09|12|2|3|0|0|0|0
Acacia bulgaensis|53|11|12|2|3|0|0|0|0
Acacia burrowii|273|9.91|12|2|3|0|0|0|0
Acacia burrowsiana|10|12|12|1|0|0|0|0|0
Acacia caerulescens|46|9|11|0|1|0|0|0|0
Acacia caesaneura|178|12|12|1|0|0|0|0|0
Acacia caesiella|224|7|11.65|0|2|3|0|0|0
Acacia calamifolia|1392|9|12|2|3|0|0|0|0
Acacia calcicola|291|12|12|1|0|0|0|0|0
Acacia cambagei|917|12|12|1|0|0|0|0|0
Acacia cana|132|11.08|12|2|3|0|0|0|0
Acacia cangaiensis|36|9|12|2|3|0|0|0|0
Acacia cardiophylla|113|7.61|11.79|0|2|3|0|0|0
Acacia carneorum|301|10.55|12|2|3|0|0|0|0
Acacia caroleae|492|9.61|12|2|3|0|0|0|0
Acacia catenulata|164|12|12|1|0|0|0|0|0
Acacia celastrifolia|108|11.03|12|2|3|0|0|0|0
Acacia chartacea|69|12|12|1|0|0|0|0|0
Acacia chisholmii|260|12|12|1|0|0|0|0|0
Acacia chrysotricha|21|12|12|1|0|0|0|0|0
Acacia cincinnata|129|12|12|1|0|0|0|0|0
Acacia citrinoviridis|186|12|12|1|0|0|0|0|0
Acacia clunies-rossiae|125|9|11|0|1|0|0|0|0
Acacia cockertoniana|107|12|12|1|0|0|0|0|0
Acacia cognata|550|7.35|12|2|9|3|0|0|0
Acacia colei|580|12|12|1|0|0|0|0|0
Acacia complanata|625|11.09|12|2|3|0|0|0|0
Acacia concurrens|936|11.06|12|2|3|0|0|0|0
Acacia conferta|595|9.93|12|2|3|0|0|0|0
Acacia confusa|340|11.03|12|2|3|0|0|0|0
Acacia conniana|32|12|12|1|0|0|0|0|0
Acacia conspersa|148|12|12|1|0|0|0|0|0
Acacia constricta|67|7.62|12|2|9|3|0|0|0
Acacia continua|732|8.35|12|2|3|0|0|0|0
Acacia convallium|51|12|12|1|0|0|0|0|0
Acacia coolgardiensis|285|11.09|12|2|3|0|0|0|0
Acacia coriacea|269|11.07|12|2|3|0|0|0|0
Acacia covenyi|22|6.05|10.97|0|2|3|0|0|0
Acacia cowaniana|3|12|12|1|0|0|0|0|0
Acacia cowleana|406|12|12|1|0|0|0|0|0
Acacia craspedocarpa|177|12|12|1|0|0|0|0|0
Acacia crassa|596|10.17|12|2|3|0|0|0|0
Acacia crassicarpa|384|12|12|1|0|0|0|0|0
Acacia crenulata|15|11.03|12|2|3|0|0|0|0
Acacia cretata|71|12|12|1|0|0|0|0|0
Acacia crombiei|45|12|12|1|0|0|0|0|0
Acacia cultriformis|335|7.74|12|2|9|3|0|0|0
Acacia curvinervia|122|12|12|1|0|0|0|0|0
Acacia cuspidifolia|39|12|12|1|0|0|0|0|0
Acacia cuthbertsonii|410|12|12|1|0|0|0|0|0
Acacia cyclops|1290|11.05|12|2|3|0|0|0|0
Acacia cyperophylla|239|12|12|1|0|0|0|0|0
Acacia dallachiana|98|2.63|7.76|0|0|2|3|0|0
Acacia dangarensis|6|9|12|2|3|0|0|0|0
Acacia dawsonii|311|6.27|9.98|0|2|3|0|0|0
Acacia dealbata|24706|4.52|10.95|0|2|3|0|0|0
Acacia deanei|2894|8.11|12|2|3|0|0|0|0
Acacia debilis|85|9|12|2|3|0|0|0|0
Acacia decora|2651|8.15|12|2|3|0|0|0|0
Acacia decurrens|2372|6.97|12|2|9|3|0|0|0
Acacia delibrata|50|12|12|1|0|0|0|0|0
Acacia demissa|47|12|12|1|0|0|0|0|0
Acacia dempsteri|37|11.07|12|2|3|0|0|0|0
Acacia dentifera|66|11.02|12|2|3|0|0|0|0
Acacia desertorum|38|11|12|2|3|0|0|0|0
Acacia desmondii|26|12|12|1|0|0|0|0|0
Acacia didyma|21|12|12|1|0|0|0|0|0
Acacia dietrichiana|114|12|12|1|0|0|0|0|0
Acacia difficilis|1173|12|12|1|0|0|0|0|0
Acacia difformis|242|7.22|10.99|0|2|3|0|0|0
Acacia dimidiata|730|12|12|1|0|0|0|0|0
Acacia distans|48|12|12|1|0|0|0|0|0
Acacia dodonaeifolia|223|9|12|2|3|0|0|0|0
Acacia dolichophylla|15|12|12|1|0|0|0|0|0
Acacia donaldsonii|29|12|12|1|0|0|0|0|0
Acacia doratoxylon|1560|8.05|11.95|0|1|0|0|0|0
Acacia drepanophylla|16|12|12|1|0|0|0|0|0
Acacia dunnii|148|12|12|1|0|0|0|0|0
Acacia duriuscula|60|11.07|12|2|3|0|0|0|0
Acacia echinuliflora|44|12|12|1|0|0|0|0|0
Acacia effusifolia|229|12|12|1|0|0|0|0|0
Acacia elachantha|539|12|12|1|0|0|0|0|0
Acacia elata|900|7.44|12|2|9|3|0|0|0
Acacia elongata|1092|7.73|12|2|9|3|0|0|0
Acacia enervia|141|11|12|2|3|0|0|0|0
Acacia ensifolia|92|12|12|1|0|0|0|0|0
Acacia ephedroides|51|11|12|2|3|0|0|0|0
Acacia eremaea|86|12|12|1|0|0|0|0|0
Acacia estrophiolata|576|11.1|12|2|3|0|0|0|0
Acacia excelsa|741|11.04|12|2|3|0|0|0|0
Acacia exigua|30|12|12|1|0|0|0|0|0
Acacia falcata|2374|10.31|12|2|3|0|0|0|0
Acacia falciformis|3730|6.17|11.87|0|2|3|0|0|0
Acacia fasciculifera|126|12|12|1|0|0|0|0|0
Acacia fauntleroyi|34|12|12|1|0|0|0|0|0
Acacia filicifolia|1257|7.07|12|2|9|3|0|0|0
Acacia filifolia|26|12|12|1|0|0|0|0|0
Acacia fimbriata|1497|8.23|12|2|3|0|0|0|0
Acacia flavescens|403|12|12|1|0|0|0|0|0
Acacia fleckeri|43|12|12|1|0|0|0|0|0
Acacia flocktoniae|31|7|9|0|2|3|0|0|0
Acacia floribunda|2632|8.21|12|2|3|0|0|0|0
Acacia floydii|39|9|10.9|0|1|0|0|0|0
Acacia frigescens|492|4.62|8.51|0|2|3|0|0|0
Acacia fulva|57|9|12|2|3|0|0|0|0
Acacia fuscaneura|111|12|12|1|0|0|0|0|0
Acacia galeata|31|12|12|1|0|0|0|0|0
Acacia georgensis|44|9|12|2|3|0|0|0|0
Acacia georginae|451|12|12|1|0|0|0|0|0
Acacia gibbosa|55|11|12|2|3|0|0|0|0
Acacia gillii|235|12|12|1|0|0|0|0|0
Acacia glaucocaesia|18|12|12|1|0|0|0|0|0
Acacia glaucocarpa|221|11.07|12|2|3|0|0|0|0
Acacia gnidium|48|12|12|1|0|0|0|0|0
Acacia gonocarpa|546|12|12|1|0|0|0|0|0
Acacia gonoclada|363|12|12|1|0|0|0|0|0
Acacia grandifolia|55|12|12|1|0|0|0|0|0
Acacia grasbyi|161|12|12|1|0|0|0|0|0
Acacia hakeoides|2574|8.35|12|2|3|0|0|0|0
Acacia hamersleyensis|96|12|12|1|0|0|0|0|0
Acacia hammondii|544|12|12|1|0|0|0|0|0
Acacia harpophylla|756|11.01|12|2|3|0|0|0|0
Acacia havilandiorum|401|9|12|2|3|0|0|0|0
Acacia hemignosta|612|12|12|1|0|0|0|0|0
Acacia hemsleyi|200|12|12|1|0|0|0|0|0
Acacia heteroclita|67|11.04|12|2|3|0|0|0|0
Acacia heterophylla|60|7.57|12|2|9|3|0|0|0
Acacia holosericea|1493|12|12|1|0|0|0|0|0
Acacia holotricha|30|12|12|1|0|0|0|0|0
Acacia homaloclada|15|12|12|1|0|0|0|0|0
Acacia howittii|203|6.32|11.16|0|2|3|0|0|0
Acacia hylonoma|20|12|12|1|0|0|0|0|0
Acacia implexa|7189|7.36|12|2|9|3|0|0|0
Acacia inaequilatera|224|12|12|1|0|0|0|0|0
Acacia inceana|73|11.09|12|2|3|0|0|0|0
Acacia incurvaneura|290|12|12|1|0|0|0|0|0
Acacia ingramii|111|8.06|11.7|0|1|0|0|0|0
Acacia intorta|17|12|12|1|0|0|0|0|0
Acacia irrorata|3171|8.38|12|2|3|0|0|0|0
Acacia islana|23|12|12|1|0|0|0|0|0
Acacia ixodes|120|9|12|2|3|0|0|0|0
Acacia jamesiana|57|12|12|1|0|0|0|0|0
Acacia jasperensis|63|12|12|1|0|0|0|0|0
Acacia jennerae|240|11.07|12|2|3|0|0|0|0
Acacia jensenii|43|12|12|1|0|0|0|0|0
Acacia jucunda|135|11.02|12|2|3|0|0|0|0
Acacia julifera|468|11.09|12|2|3|0|0|0|0
Acacia kelleri|78|12|12|1|0|0|0|0|0
Acacia kempeana|1372|11.09|12|2|3|0|0|0|0
Acacia kenneallyi|8|12|12|1|0|0|0|0|0
Acacia kettlewelliae|242|4.3|9.75|0|2|3|0|0|0
Acacia koa|144|8.26|12|2|3|0|0|0|0
Acacia koaia|13|7.12|12|2|9|3|0|0|0
Acacia lacertensis|51|12|12|1|0|0|0|0|0
Acacia lasiocalyx|324|11.01|12|2|3|0|0|0|0
Acacia latescens|577|12|12|1|0|0|0|0|0
