species|n|Q05|Q95|A|C|D|E|F|A18
Alstonia neriifolia|6|12|12|1|0|0|0|0|0
Alstonia odontophora|16|12|12|1|0|0|0|0|0
Alstonia parvifolia|2|12|12|1|0|0|0|0|0
Alstonia penangiana|1|12|12|1|0|0|0|0|1
Alstonia pneumatophora|13|12|12|1|0|0|0|0|1
Alstonia quaternata|11|12|12|1|0|0|0|0|0
Alstonia rostrata|20|12|12|1|0|0|0|0|0
Alstonia rubiginosa|2|12|12|1|0|0|0|0|0
Alstonia rupestris|1|12|12|1|0|0|0|0|0
Alstonia scholaris|426|11.09|12|2|3|0|0|0|0
Alstonia spatulata|34|12|12|1|0|0|0|0|1
Alstonia spectabilis|264|12|12|1|0|0|0|0|0
Alstonia sphaerocapitata|6|12|12|1|0|0|0|0|0
Alstonia venenata|4|12|12|1|0|0|0|0|0
Alstonia vieillardii|32|12|12|1|0|0|0|0|0
Alvaradoa amorphoides|842|12|12|1|0|0|0|0|0
Alvaradoa arborescens|8|12|12|1|0|0|0|0|0
Alvaradoa haitiensis|18|12|12|1|0|0|0|0|0
Alvaradoa jamaicensis|3|12|12|1|0|0|0|0|0
Alvaradoa lewisii|3|12|12|1|0|0|0|0|0
Alvaradoa subovata|28|12|12|1|0|0|0|0|0
Alyxia ilicifolia|174|12|12|1|0|0|0|0|0
Alyxia orophila|51|12|12|1|0|0|0|0|0
Alzatea verticillata|154|1.12|12|2|9|9|3|0|0
Amaioua brevidentata|7|12|12|1|0|0|0|0|0
Amaioua contracta|1|12|12|1|0|0|0|0|1
Amaioua glomerulata|409|12|12|1|0|0|0|0|0
Amaioua guianensis|587|8.39|12|2|3|0|0|0|0
Amaioua intermedia|260|12|12|1|0|0|0|0|0
Amaioua magnicarpa|13|12|12|1|0|0|0|0|1
Amaioua pedicellata|53|12|12|1|0|0|0|0|0
Amaioua pilosa|20|12|12|1|0|0|0|0|0
Amanoa almerindae|31|12|12|1|0|0|0|0|1
Amanoa bracteosa|74|12|12|1|0|0|0|0|0
Amanoa caribaea|4|12|12|1|0|0|0|0|0
Amanoa congesta|15|12|12|1|0|0|0|0|1
Amanoa cupatensis|7|12|12|1|0|0|0|0|0
Amanoa glaucophylla|15|12|12|1|0|0|0|0|0
Amanoa gracillima|5|12|12|1|0|0|0|0|1
Amanoa guianensis|299|12|12|1|0|0|0|0|0
Amanoa nanayensis|19|12|12|1|0|0|0|0|1
Amanoa neglecta|2|12|12|1|0|0|0|0|1
Amanoa oblongifolia|81|12|12|1|0|0|0|0|0
Amanoa sinuosa|3|12|12|1|0|0|0|0|0
Amanoa steyermarkii|11|12|12|1|0|0|0|0|0
Amanoa strobilacea|38|12|12|1|0|0|0|0|0
Amaracarpus attenuatus|9|12|12|1|0|0|0|0|0
Amaracarpus belensis|2|12|12|1|0|0|0|0|0
Amaracarpus brassii|7|0|12|2|9|9|9|3|0
Amaracarpus compactus|5|0|12|2|9|9|9|3|0
Amaracarpus grandifolius|5|12|12|1|0|0|0|0|0
Amaracarpus nematopodus|89|12|12|1|0|0|0|0|0
Amaroria soulameoides|2|12|12|1|0|0|0|0|0
Ambassa hochstetteri|61|12|12|1|0|0|0|0|0
Ambavia capuronii|29|12|12|1|0|0|0|0|0
Ambavia gerrardii|80|12|12|1|0|0|0|0|0
Ambelania acida|136|12|12|1|0|0|0|0|1
Ambelania duckei|15|12|12|1|0|0|0|0|0
Ambelania occidentalis|44|12|12|1|0|0|0|0|1
Ambilobea madagascariensis|38|12|12|1|0|0|0|0|0
Amblygonocarpus andongensis|136|12|12|1|0|0|0|0|0
Amborella trichopoda|69|12|12|1|0|0|0|0|0
Ambrosia carduacea|94|9.63|12|2|3|0|0|0|0
Amburana acreana|22|12|12|1|0|0|0|0|0
Amburana cearensis|335|12|12|1|0|0|0|0|0
Amelanchier alnifolia|3887|2.27|6.55|0|0|2|3|0|0
Amelanchier arborea|1365|4.2|9.32|0|2|3|0|0|0
Amelanchier asiatica|192|5.25|8.78|0|2|3|0|0|0
Amelanchier bartramiana|863|2.16|5|0|0|2|3|0|0
Amelanchier canadensis|275|4.02|8.76|0|2|3|0|0|0
Amelanchier interior|274|4|5.91|0|0|1|0|0|0
Amelanchier laevis|899|3.42|6.75|0|0|2|3|0|0
Amelanchier pallida|206|2.84|7.63|0|0|2|3|0|0
Amelanchier sanguinea|568|3.16|5.92|0|0|2|3|0|0
Amelanchier sinica|28|5|9|0|2|3|0|0|0
Amelanchier utahensis|1159|3|8.43|0|2|9|3|0|0
Amentotaxus argotaenia|50|7|12|2|9|3|0|0|0
Amentotaxus formosana|25|9.18|12|2|3|0|0|0|0
Amentotaxus hatuyenensis|1|12|12|1|0|0|0|0|0
Amentotaxus poilanei|1|12|12|1|0|0|0|0|0
Amentotaxus yunnanensis|12|9.1|12|2|3|0|0|0|0
Amesiodendron chinense|32|11|12|2|3|0|0|0|0
Amherstia nobilis|15|12|12|1|0|0|0|0|0
Ammodendron conollyi|3|6|8|0|2|3|0|0|0
Ammopiptanthus nanus|6|4|7|0|0|1|0|0|0
Amomyrtella guilii|22|11.05|12|2|3|0|0|0|0
Amomyrtella irregularis|4|12|12|1|0|0|0|0|0
Amomyrtus luma|44|1.8|8.32|0|2|9|3|0|0
Amomyrtus meli|24|4.2|7|0|0|1|0|0|0
Amorphospermum antilogum|10|12|12|1|0|0|0|0|0
Ampelocera albertiae|9|12|12|1|0|0|0|0|0
Ampelocera edentula|212|12|12|1|0|0|0|0|0
Ampelocera glabra|8|12|12|1|0|0|0|0|0
Ampelocera hottlei|123|12|12|1|0|0|0|0|0
Ampelocera longissima|28|12|12|1|0|0|0|0|0
Ampelocera macphersonii|32|12|12|1|0|0|0|0|0
Ampelocera macrocarpa|79|12|12|1|0|0|0|0|0
Ampelocera ruizii|116|12|12|1|0|0|0|0|0
Ampelozizyphus amazonicus|79|12|12|1|0|0|0|0|0
Ampelozizyphus kuripacorum|2|12|12|1|0|0|0|0|1
Amphidasya neblinae|4|12|12|1|0|0|0|0|0
Amphimas ferrugineus|55|12|12|1|0|0|0|0|0
Amphimas pterocarpoides|127|12|12|1|0|0|0|0|0
Amphimas tessmannii|2|12|12|1|0|0|0|0|1
Amphiodon effusus|64|12|12|1|0|0|0|0|0
Amphipterygium adstringens|442|12|12|1|0|0|0|0|0
Amphipterygium amplifolium|1|12|12|1|0|0|0|0|0
Amphipterygium glaucum|13|12|12|1|0|0|0|0|0
Amphipterygium molle|14|12|12|1|0|0|0|0|0
Amphipterygium simplicifolium|41|12|12|1|0|0|0|0|0
Amphirrhox longifolia|409|12|12|1|0|0|0|0|0
Amphitecna apiculata|117|12|12|1|0|0|0|0|0
Amphitecna breedlovei|26|12|12|1|0|0|0|0|0
Amphitecna donnell-smithii|5|12|12|1|0|0|0|0|0
Amphitecna gentryi|32|12|12|1|0|0|0|0|0
Amphitecna isthmica|46|12|12|1|0|0|0|0|0
Amphitecna kennedyi|17|12|12|1|0|0|0|0|0
Amphitecna latifolia|178|12|12|1|0|0|0|0|0
Amphitecna lundellii|5|12|12|1|0|0|0|0|0
Amphitecna macrophylla|13|12|12|1|0|0|0|0|0
Amphitecna molinae|10|12|12|1|0|0|0|0|0
Amphitecna montana|43|12|12|1|0|0|0|0|0
Amphitecna regalis|18|12|12|1|0|0|0|0|0
Amphitecna sessilifolia|92|12|12|1|0|0|0|0|0
Amphitecna silvicola|22|12|12|1|0|0|0|0|0
Amphitecna spathicalyx|4|12|12|1|0|0|0|0|1
Amphitecna steyermarkii|11|12|12|1|0|0|0|0|0
Amphitecna tuxtlensis|61|12|12|1|0|0|0|0|0
Amphorogyne celastroides|4|12|12|1|0|0|0|0|0
Amphorogyne spicata|9|12|12|1|0|0|0|0|0
Amphorogyne staufferi|5|12|12|1|0|0|0|0|0
Amyrea grandifolia|7|12|12|1|0|0|0|0|0
Amyrea humbertii|69|12|12|1|0|0|0|0|0
Amyrea lancifolia|3|12|12|1|0|0|0|0|0
Amyrea remotiflora|4|12|12|1|0|0|0|0|0
Amyrea sambiranensis|18|12|12|1|0|0|0|0|0
Amyris apiculata|2|12|12|1|0|0|0|0|0
Amyris attenuata|26|12|12|1|0|0|0|0|0
Amyris balsamifera|116|12|12|1|0|0|0|0|0
Amyris brenesii|29|12|12|1|0|0|0|0|0
Amyris chiapensis|2|12|12|1|0|0|0|0|0
Amyris crebrinervis|3|12|12|1|0|0|0|0|1
Amyris diatrypa|26|12|12|1|0|0|0|0|0
Amyris elemifera|341|12|12|1|0|0|0|0|0
Amyris guatemalensis|4|12|12|1|0|0|0|0|0
Amyris ignea|18|12|12|1|0|0|0|0|0
Amyris macrocarpa|25|12|12|1|0|0|0|0|0
Amyris magnifolia|7|12|12|1|0|0|0|0|1
Amyris mexicana|1|12|12|1|0|0|0|0|0
Amyris oblanceolata|8|12|12|1|0|0|0|0|0
Amyris pinnata|113|12|12|1|0|0|0|0|0
Amyris purpusii|7|12|12|1|0|0|0|0|0
Amyris rekoi|17|12|12|1|0|0|0|0|0
Amyris rhomboidea|2|12|12|1|0|0|0|0|0
Amyris thyrsiflora|6|12|12|1|0|0|0|0|0
Amyris vestita|6|12|12|1|0|0|0|0|0
Amyxa pluricornis|37|12|12|1|0|0|0|0|1
Anacardium amapaense|7|12|12|1|0|0|0|0|1
Anacardium corymbosum|10|12|12|1|0|0|0|0|0
Anacardium excelsum|456|12|12|1|0|0|0|0|0
Anacardium fruticosum|12|12|12|1|0|0|0|0|0
Anacardium giganteum|98|12|12|1|0|0|0|0|0
Anacardium humile|341|12|12|1|0|0|0|0|0
Anacardium microsepalum|4|12|12|1|0|0|0|0|1
Anacardium nanum|52|12|12|1|0|0|0|0|0
Anacardium occidentale|2469|12|12|1|0|0|0|0|0
Anacardium parvifolium|16|12|12|1|0|0|0|0|1
Anacardium spruceanum|57|12|12|1|0|0|0|0|0
Anacolosa casearioides|35|12|12|1|0|0|0|0|0
Anacolosa clarkii|3|12|12|1|0|0|0|0|0
Anacolosa frutescens|47|12|12|1|0|0|0|0|0
Anacolosa griffithii|3|12|12|1|0|0|0|0|0
Anacolosa ilicoides|15|12|12|1|0|0|0|0|0
Anacolosa lutea|1|12|12|1|0|0|0|0|1
Anacolosa papuana|29|12|12|1|0|0|0|0|0
Anacolosa pervilleana|81|12|12|1|0|0|0|0|0
Anacolosa poilanei|2|12|12|1|0|0|0|0|0
Anadenanthera colubrina|1783|11.1|12|2|3|0|0|0|0
Anadenanthera peregrina|505|12|12|1|0|0|0|0|0
Anagyris foetida|839|7.41|12|2|9|3|0|0|0
Anakasia simplicifolia|3|12|12|1|0|0|0|0|1
Anastrabe integerrima|39|10.15|12|2|3|0|0|0|0
Anastraphia buchii|1|12|12|1|0|0|0|0|1
Anastraphia picardae|3|12|12|1|0|0|0|0|0
Anaxagorea acuminata|127|12|12|1|0|0|0|0|0
Anaxagorea allenii|63|12|12|1|0|0|0|0|1
Anaxagorea angustifolia|4|12|12|1|0|0|0|0|1
Anaxagorea borneensis|12|12|12|1|0|0|0|0|1
Anaxagorea brachycarpa|81|12|12|1|0|0|0|0|1
Anaxagorea brevipedicellata|5|12|12|1|0|0|0|0|1
Anaxagorea brevipes|270|12|12|1|0|0|0|0|0
Anaxagorea crassipetala|194|12|12|1|0|0|0|0|0
Anaxagorea dolichocarpa|624|12|12|1|0|0|0|0|0
Anaxagorea floribunda|11|12|12|1|0|0|0|0|1
Anaxagorea gigantophylla|14|12|12|1|0|0|0|0|1
Anaxagorea guatemalensis|35|12|12|1|0|0|0|0|0
Anaxagorea javanica|102|12|12|1|0|0|0|0|1
Anaxagorea luzonensis|22|12|12|1|0|0|0|0|0
Anaxagorea macrantha|3|12|12|1|0|0|0|0|1
Anaxagorea manausensis|12|12|12|1|0|0|0|0|0
Anaxagorea pachypetala|7|12|12|1|0|0|0|0|0
Anaxagorea petiolata|54|12|12|1|0|0|0|0|0
Anaxagorea phaeocarpa|193|12|12|1|0|0|0|0|0
Anaxagorea prinoides|23|12|12|1|0|0|0|0|0
Anaxagorea rufa|101|12|12|1|0|0|0|0|1
Anaxagorea silvatica|10|12|12|1|0|0|0|0|0
Ancistrocarpus bequaertii|24|12|12|1|0|0|0|0|0
Ancistrocarpus densispinosus|129|12|12|1|0|0|0|0|0
Ancylobothrys pyriformis|10|12|12|1|0|0|0|0|0
Andeimalva machupicchensis|2|8|12|2|3|0|0|0|0
Andesanthus elegantulus|3|12|12|1|0|0|0|0|0
Andesanthus gleasonianus|26|1|12|2|9|9|3|0|0
Andesanthus inopinatus|46|12|12|1|0|0|0|0|0
Andesanthus narinoensis|5|12|12|1|0|0|0|0|0
Andesanthus silvestris|4|12|12|1|0|0|0|0|0
Andira anthelmia|105|12|12|1|0|0|0|0|0
Andira carvalhoi|16|12|12|1|0|0|0|0|1
Andira chigorodensis|8|12|12|1|0|0|0|0|1
Andira cordata|76|12|12|1|0|0|0|0|0
Andira coriacea|20|12|12|1|0|0|0|0|1
Andira cubensis|6|12|12|1|0|0|0|0|0
Andira cujabensis|182|12|12|1|0|0|0|0|0
Andira fraxinifolia|489|12|12|1|0|0|0|0|0
Andira galeottiana|86|12|12|1|0|0|0|0|0
Andira grandistipula|7|12|12|1|0|0|0|0|1
Andira humilis|248|12|12|1|0|0|0|0|0
Andira inermis|1141|12|12|1|0|0|0|0|0
Andira jaliscensis|5|12|12|1|0|0|0|0|0
Andira legalis|67|12|12|1|0|0|0|0|0
Andira macrocarpa|2|12|12|1|0|0|0|0|1
Andira macrothyrsa|48|12|12|1|0|0|0|0|0
Andira marauensis|10|12|12|1|0|0|0|0|0
Andira micrantha|18|12|12|1|0|0|0|0|1
Andira multistipula|44|12|12|1|0|0|0|0|0
Andira nitida|143|12|12|1|0|0|0|0|0
Andira ormosioides|34|12|12|1|0|0|0|0|0
Andira parviflora|29|12|12|1|0|0|0|0|1
Andira praecox|4|12|12|1|0|0|0|0|1
Andira surinamensis|153|12|12|1|0|0|0|0|0
Andira taurotesticulata|58|12|12|1|0|0|0|0|0
Andira tervequinata|4|12|12|1|0|0|0|0|1
Andira trifoliolata|22|12|12|1|0|0|0|0|1
Andira unifoliolata|11|12|12|1|0|0|0|0|1
Andira vermifuga|188|12|12|1|0|0|0|0|0
Andradea floribunda|14|12|12|1|0|0|0|0|0
Andreadoxa flava|5|12|12|1|0|0|0|0|1
Andringitra macrantha|6|12|12|1|0|0|0|0|0
Androsiphonia adenostegia|68|12|12|1|0|0|0|0|0
Androstachys johnsonii|31|12|12|1|0|0|0|0|0
Androtium astylum|14|12|12|1|0|0|0|0|1
Androya decaryi|12|12|12|1|0|0|0|0|0
Aneulophus africanus|54|12|12|1|0|0|0|0|0
Angelesia fusicarpa|2|12|12|1|0|0|0|0|1
Angelesia palawanensis|7|12|12|1|0|0|0|0|0
Angelesia splendens|97|12|12|1|0|0|0|0|1
Angophora bakeri|1114|10|12|2|3|0|0|0|0
Angophora costata|4175|9.12|12|2|3|0|0|0|0
Angophora crassifolia|107|12|12|1|0|0|0|0|0
Angophora euryphylla|119|9.24|12|2|3|0|0|0|0
Angophora exul|2|11|11|0|1|0|0|0|0
Angophora floribunda|7563|8.19|12|2|3|0|0|0|0
Angophora hispida|759|11.09|12|2|3|0|0|0|0
Angophora inopina|204|12|12|1|0|0|0|0|0
Angophora leiocarpa|951|10.62|12|2|3|0|0|0|0
Angophora melanoxylon|141|12|12|1|0|0|0|0|0
Angophora robur|266|12|12|1|0|0|0|0|0
Angophora subvelutina|1234|8.71|12|2|3|0|0|0|0
Angophora woodsiana|421|11.1|12|2|3|0|0|0|0
Angostura alipes|3|12|12|1|0|0|0|0|1
Angostura bracteata|43|12|12|1|0|0|0|0|0
Angostura granulosa|94|12|12|1|0|0|0|0|0
Angostura longiflora|25|12|12|1|0|0|0|0|0
Angostura quinquefolia|5|12|12|1|0|0|0|0|0
Angostura simplex|2|12|12|1|0|0|0|0|0
Angostura trifoliata|21|12|12|1|0|0|0|0|1
Angostylis longifolia|1|12|12|1|0|0|0|0|0
Angylocalyx boutiqueanus|20|12|12|1|0|0|0|0|0
Angylocalyx braunii|34|12|12|1|0|0|0|0|0
Angylocalyx oligophyllus|245|12|12|1|0|0|0|0|0
Angylocalyx pynaertii|47|12|12|1|0|0|0|0|0
Angylocalyx talbotii|43|12|12|1|0|0|0|0|0
Aniba affinis|29|12|12|1|0|0|0|0|0
Aniba bracteata|10|12|12|1|0|0|0|0|0
Aniba burchellii|39|12|12|1|0|0|0|0|0
Aniba canellila|75|12|12|1|0|0|0|0|0
Aniba cinnamomiflora|30|12|12|1|0|0|0|0|0
Aniba citrifolia|70|12|12|1|0|0|0|0|0
Aniba coto|54|12|12|1|0|0|0|0|0
Aniba cylindriflora|43|12|12|1|0|0|0|0|0
Aniba desertorum|35|12|12|1|0|0|0|0|0
Aniba excelsa|11|12|12|1|0|0|0|0|0
Aniba ferrea|8|12|12|1|0|0|0|0|1
Aniba ferruginea|2|12|12|1|0|0|0|0|1
Aniba firmula|197|12|12|1|0|0|0|0|0
Aniba guianensis|158|12|12|1|0|0|0|0|0
Aniba heringeri|74|12|12|1|0|0|0|0|0
Aniba heterotepala|7|12|12|1|0|0|0|0|1
Aniba hostmanniana|128|12|12|1|0|0|0|0|0
Aniba hypoglauca|7|12|12|1|0|0|0|0|1
Aniba intermedia|35|12|12|1|0|0|0|0|0
Aniba jenmanii|13|12|12|1|0|0|0|0|0
Aniba kappleri|12|12|12|1|0|0|0|0|0
Aniba lancifolia|5|12|12|1|0|0|0|0|1
Aniba megaphylla|88|12|12|1|0|0|0|0|0
Aniba muca|124|10.18|12|2|3|0|0|0|0
Aniba novogranatensis|7|12|12|1|0|0|0|0|0
Aniba panurensis|234|12|12|1|0|0|0|0|0
Aniba parviflora|38|12|12|1|0|0|0|0|1
Aniba percoriacea|5|12|12|1|0|0|0|0|1
Aniba permollis|7|12|12|1|0|0|0|0|1
Aniba perutilis|114|11.09|12|2|3|0|0|0|0
Aniba pilosa|3|12|12|1|0|0|0|0|0
Aniba puchury-minor|98|12|12|1|0|0|0|0|0
Aniba riparia|66|12|12|1|0|0|0|0|0
Aniba robusta|49|12|12|1|0|0|0|0|0
Aniba rosaeodora|47|12|12|1|0|0|0|0|1
Aniba santalodora|7|12|12|1|0|0|0|0|1
Aniba taubertiana|81|12|12|1|0|0|0|0|0
Aniba terminalis|20|12|12|1|0|0|0|0|1
Aniba vaupesiana|4|12|12|1|0|0|0|0|1
Aniba venezuelana|46|12|12|1|0|0|0|0|0
Aniba vulcanicola|3|12|12|1|0|0|0|0|0
Aniba williamsii|74|12|12|1|0|0|0|0|0
Anisophyllea apetala|6|12|12|1|0|0|0|0|1
Anisophyllea bakoensis|1|12|12|1|0|0|0|0|1
Anisophyllea beccariana|1|12|12|1|0|0|0|0|1
Anisophyllea boehmii|23|12|12|1|0|0|0|0|0
Anisophyllea borneensis|3|12|12|1|0|0|0|0|1
Anisophyllea cabole|9|12|12|1|0|0|0|0|1
Anisophyllea cinnamomoides|4|12|12|1|0|0|0|0|1
Anisophyllea corneri|30|12|12|1|0|0|0|0|0
Anisophyllea cuneata|3|12|12|1|0|0|0|0|0
Anisophyllea curtisii|1|12|12|1|0|0|0|0|1
Anisophyllea dinghoui|1|12|12|1|0|0|0|0|1
Anisophyllea disticha|67|12|12|1|0|0|0|0|1
Anisophyllea fallax|39|12|12|1|0|0|0|0|0
Anisophyllea ferruginea|15|12|12|1|0|0|0|0|1
Anisophyllea glandibeccariana|2|12|12|1|0|0|0|0|1
Anisophyllea glandulipetiolata|3|12|12|1|0|0|0|0|1
Anisophyllea globosa|1|12|12|1|0|0|0|0|1
Anisophyllea grandis|4|12|12|1|0|0|0|0|1
Anisophyllea griffithii|7|12|12|1|0|0|0|0|1
Anisophyllea guianensis|11|12|12|1|0|0|0|0|1
Anisophyllea insularis|3|12|12|1|0|0|0|0|1
Anisophyllea ismailii|1|12|12|1|0|0|0|0|1
Anisophyllea laurina|21|12|12|1|0|0|0|0|0
Anisophyllea manausensis|15|12|12|1|0|0|0|0|1
Anisophyllea masoalensis|2|12|12|1|0|0|0|0|0
Anisophyllea meniaudi|35|12|12|1|0|0|0|0|1
Anisophyllea myriosticta|32|12|12|1|0|0|0|0|0
Anisophyllea myriostictoides|2|12|12|1|0|0|0|0|1
Anisophyllea obanica|1|12|12|1|0|0|0|0|1
Anisophyllea obtusifolia|3|12|12|1|0|0|0|0|0
Anisophyllea parafallax|1|12|12|1|0|0|0|0|0
Anisophyllea polyneura|92|12|12|1|0|0|0|0|0
Anisophyllea purpurascens|139|12|12|1|0|0|0|0|0
Anisophyllea rengamensis|1|12|12|1|0|0|0|0|1
Anisophyllea sabahensis|3|12|12|1|0|0|0|0|0
Anisophyllea sarawakensis|3|12|12|1|0|0|0|0|1
Anisophyllea schatzii|13|12|12|1|0|0|0|0|0
Anisophyllea scortechinii|7|12|12|1|0|0|0|0|1
Anisophyllea sessiliflora|1|12|12|1|0|0|0|0|1
Anisophyllea sororia|25|12|12|1|0|0|0|0|0
Anisophyllea sumatrana|1|12|12|1|0|0|0|0|1
Anisoptera costata|36|12|12|1|0|0|0|0|0
Anisoptera curtisii|4|12|12|1|0|0|0|0|1
Anisoptera grossivenia|14|12|12|1|0|0|0|0|1
Anisoptera laevis|20|12|12|1|0|0|0|0|1
Anisoptera marginata|17|12|12|1|0|0|0|0|0
Anisoptera megistocarpa|4|12|12|1|0|0|0|0|1
Anisoptera reticulata|5|12|12|1|0|0|0|0|1
Anisoptera scaphula|1|12|12|1|0|0|0|0|1
Anisoptera thurifera|98|12|12|1|0|0|0|0|0
Anisotes guineensis|2|12|12|1|0|0|0|0|0
Anisotes pubinervius|17|12|12|1|0|0|0|0|0
Annea afzelii|118|12|12|1|0|0|0|0|0
Annea laxiflora|8|12|12|1|0|0|0|0|0
Annesijoa novoguineensis|18|12|12|1|0|0|0|0|1
Anneslea fragrans|116|8.96|12|2|3|0|0|0|0
Annickia affinis|47|12|12|1|0|0|0|0|0
Annickia ambigua|12|12|12|1|0|0|0|0|0
Annickia chlorantha|132|12|12|1|0|0|0|0|0
Annickia kummeriae|1|12|12|1|0|0|0|0|0
Annickia lebrunii|4|12|12|1|0|0|0|0|0
Annickia letestui|15|12|12|1|0|0|0|0|0
Annickia pilosa|15|12|12|1|0|0|0|0|0
Annickia polycarpa|77|12|12|1|0|0|0|0|0
Annona acuminata|39|12|12|1|0|0|0|0|1
Annona acutiflora|29|12|12|1|0|0|0|0|0
Annona amazonica|65|12|12|1|0|0|0|0|0
Annona ambotay|169|12|12|1|0|0|0|0|0
Annona andicola|23|12|12|1|0|0|0|0|0
Annona angustifolia|4|12|12|1|0|0|0|0|0
Annona annonoides|3|12|12|1|0|0|0|0|1
Annona asplundiana|9|12|12|1|0|0|0|0|1
Annona atabapensis|3|12|12|1|0|0|0|0|1
Annona aurantiaca|60|12|12|1|0|0|0|0|0
Annona bahiensis|33|12|12|1|0|0|0|0|0
Annona bicolor|3|12|12|1|0|0|0|0|1
Annona boliviana|9|12|12|1|0|0|0|0|0
Annona bullata|3|12|12|1|0|0|0|0|0
Annona burchellii|2|12|12|1|0|0|0|0|0
Annona cacans|103|12|12|1|0|0|0|0|0
Annona caesia|11|12|12|1|0|0|0|0|1
Annona calcarata|3|12|12|1|0|0|0|0|0
Annona caput-medusae|1|12|12|1|0|0|0|0|1
Annona cascarilloides|1|12|12|1|0|0|0|0|0
Annona centrantha|11|12|12|1|0|0|0|0|0
Annona cercocarpa|3|12|12|1|0|0|0|0|0
Annona cherimola|524|11.07|12|2|3|0|0|0|0
Annona conica|13|12|12|1|0|0|0|0|0
Annona cordifolia|25|12|12|1|0|0|0|0|0
Annona coriacea|468|12|12|1|0|0|0|0|0
Annona crassiflora|211|12|12|1|0|0|0|0|0
Annona cuspidata|117|12|12|1|0|0|0|0|0
Annona danforthii|20|12|12|1|0|0|0|0|0
Annona deceptrix|14|12|12|1|0|0|0|0|0
Annona deminuta|21|12|12|1|0|0|0|0|0
Annona densicoma|41|12|12|1|0|0|0|0|1
Annona dioica|168|12|12|1|0|0|0|0|0
Annona dolabripetala|39|10.15|12|2|3|0|0|0|0
Annona dolichopetala|65|10.17|12|2|3|0|0|0|0
Annona dolichophylla|26|12|12|1|0|0|0|0|1
Annona duckei|63|12|12|1|0|0|0|0|0
Annona echinata|8|12|12|1|0|0|0|0|1
Annona edulis|158|12|12|1|0|0|0|0|0
Annona emarginata|423|11.09|12|2|3|0|0|0|0
Annona excellens|39|12|12|1|0|0|0|0|0
Annona exsucca|134|12|12|1|0|0|0|0|0
Annona fendleri|5|12|12|1|0|0|0|0|0
Annona foetida|75|12|12|1|0|0|0|0|0
Annona fosteri|10|12|12|1|0|0|0|0|0
Annona gardneri|2|12|12|1|0|0|0|0|0
Annona gigantophylla|13|12|12|1|0|0|0|0|1
Annona glabra|1002|12|12|1|0|0|0|0|0
Annona glomerulifera|19|12|12|1|0|0|0|0|1
Annona haematantha|17|12|12|1|0|0|0|0|0
Annona hayesii|17|12|12|1|0|0|0|0|1
Annona helosioides|11|12|12|1|0|0|0|0|1
Annona herzogii|52|12|12|1|0|0|0|0|0
Annona hispida|12|12|12|1|0|0|0|0|0
Annona holosericea|75|12|12|1|0|0|0|0|0
Annona hypoglauca|304|12|12|1|0|0|0|0|0
Annona inconformis|4|12|12|1|0|0|0|0|0
Annona insignis|15|12|12|1|0|0|0|0|0
Annona iquitensis|2|12|12|1|0|0|0|0|1
Annona jahnii|58|12|12|1|0|0|0|0|1
Annona jamaicensis|3|12|12|1|0|0|0|0|0
Annona jucunda|29|12|12|1|0|0|0|0|0
Annona leptopetala|274|12|12|1|0|0|0|0|0
Annona liebmanniana|51|12|12|1|0|0|0|0|0
Annona longipes|5|12|12|1|0|0|0|0|0
Annona macrocalyx|2|12|12|1|0|0|0|0|0
Annona macroprophyllata|73|12|12|1|0|0|0|0|0
Annona malmeana|15|12|12|1|0|0|0|0|0
Annona mammifera|2|12|12|1|0|0|0|0|1
Annona manabiensis|5|12|12|1|0|0|0|0|1
Annona maritima|14|12|12|1|0|0|0|0|0
Annona moaensis|1|12|12|1|0|0|0|0|1
Annona montana|344|12|12|1|0|0|0|0|0
Annona monticola|84|12|12|1|0|0|0|0|0
Annona mucosa|301|12|12|1|0|0|0|0|0
Annona muricata|990|11.1|12|2|3|0|0|0|0
Annona neglecta|72|12|12|1|0|0|0|0|0
Annona neochrysocarpa|28|12|12|1|0|0|0|0|0
Annona neoecuadoarensis|3|12|12|1|0|0|0|0|1
Annona neoelliptica|4|12|12|1|0|0|0|0|1
Annona neoinsignis|23|12|12|1|0|0|0|0|0
Annona neosalicifolia|44|12|12|1|0|0|0|0|0
Annona neosericea|95|12|12|1|0|0|0|0|0
Annona neoulei|27|12|12|1|0|0|0|0|0
Annona neovelutina|3|12|12|1|0|0|0|0|0
Annona nipensis|1|12|12|1|0|0|0|0|0
Annona nitida|25|12|12|1|0|0|0|0|1
Annona nutans|145|12|12|1|0|0|0|0|0
Annona oleifolia|4|12|12|1|0|0|0|0|0
Annona oxapampae|12|12|12|1|0|0|0|0|0
Annona pachyantha|11|12|12|1|0|0|0|0|1
Annona palmeri|12|12|12|1|0|0|0|0|0
Annona paludosa|65|12|12|1|0|0|0|0|0
Annona papilionella|329|12|12|1|0|0|0|0|0
Annona parviflora|11|12|12|1|0|0|0|0|0
Annona pickelii|63|12|12|1|0|0|0|0|0
Annona pittieri|75|12|12|1|0|0|0|0|0
Annona poeppigii|1|12|12|1|0|0|0|0|1
Annona prevostiae|7|12|12|1|0|0|0|0|1
Annona pruinosa|26|12|12|1|0|0|0|0|0
Annona punicifolia|9|12|12|1|0|0|0|0|1
Annona purpurea|289|12|12|1|0|0|0|0|0
Annona rensoniana|215|12|12|1|0|0|0|0|0
