species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Crataegus nigra,18,-0.12,0.05,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus nitida,9,-0.2,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus nitidula,3,-0.13,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus okanaganensis,88,-0.69,-0.2,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crataegus okennonii,50,-0.7,-0.19,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crataegus opaca,26,-0.15,0.12,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus orbicularis,17,-0.41,-0.2,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Crataegus orientalis,42,-0.55,0.44,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus pearsonii,2,-0.02,-0.01,0,0,1,0,0,0,0,moist (1)
Crataegus pedicellata,96,-0.23,0.19,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus pennsylvanica,10,-0.14,-0.09,0,0,1,0,0,0,0,moist (1)
Crataegus pentagyna,65,-0.74,0.46,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus perjucunda,4,0.12,0.14,0,1,0,0,0,0,0,wet (1)
Crataegus persimilis,141,-0.2,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crataegus phaenopyrum,113,-0.52,0.22,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus phippsii,41,-0.7,-0.31,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crataegus pinnatifida,368,-0.52,0.36,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus populnea,4,-0.19,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus pringlei,54,-0.12,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus prona,2,-0.09,-0.09,0,0,1,0,0,0,0,moist (1)
Crataegus pruinosa,324,-0.13,0.17,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus pseudoheterophylla,10,-0.64,0.29,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus pulcherrima,79,-0.06,0.13,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus punctata,668,-0.19,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus pycnoloba,7,0.02,0.14,0,1,0,0,0,0,0,wet (1)
Crataegus remotilobata,4,-0.81,-0.69,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Crataegus reverchonii,45,-0.56,0.04,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus rhipidophylla,6154,-0.17,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus rivularis,158,-0.77,0.04,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus rosei,101,-0.76,-0.28,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crataegus saligna,33,-0.81,-0.57,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Crataegus sanguinea,792,-0.51,0.16,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus sargentii,39,-0.06,0.21,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus scabrida,61,-0.14,0.37,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus scabrifolia,35,-0.29,0.2,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus schuettei,53,-0.2,0.26,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus senta,13,-0.19,-0.03,0,0,1,0,0,0,0,moist (1)
Crataegus songarica,23,-0.84,0.32,0,2,9,9,9,3,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (9) | arid (3)
Crataegus spathulata,195,-0.28,0.12,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus submollis,214,-0.26,0.37,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus suborbiculata,29,0.04,0.36,0,1,0,0,0,0,0,wet (1)
Crataegus succulenta,426,-0.61,0.24,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus suksdorfii,189,-0.56,0.55,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus tanacetifolia,11,-0.64,0.45,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus tracyi,47,-0.8,-0.44,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Crataegus triflora,50,-0.08,0.12,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus turnerorum,11,-0.63,-0.56,0,0,0,0,1,0,0,semi-arid (1)
Crataegus uniflora,157,-0.18,0.18,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus vailiae,5,-0.09,-0.08,0,0,1,0,0,0,0,moist (1)
Crataegus viridis,280,-0.42,0.14,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Crataegus viridis var. ovata,23,-0.26,0.1,0,2,3,0,0,0,0,wet (2) | moist (3)
Crataegus wilsonii,28,-0.52,0.18,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crataegus wootoniana,12,-0.6,-0.41,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Crataegus ×canescens,4,-0.15,0.01,0,2,3,0,0,0,0,wet (2) | moist (3)
Crateranthus cameroonensis,1,0.4,0.4,0,1,0,0,0,0,0,wet (1)
Crateranthus congolensis,2,0.04,0.25,0,1,0,0,0,0,0,wet (1)
Crateranthus letestui,11,0.26,0.3,0,1,0,0,0,0,0,wet (1)
Crateranthus talbotii,27,0.23,0.49,0,1,0,0,0,0,0,wet (1)
Craterispermum aristatum,20,0.42,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Craterispermum caudatum,96,-0.2,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Craterispermum cerinanthum,89,-0.27,0.68,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Craterispermum cervicorne,20,-0.05,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Craterispermum laurinum,137,-0.28,0.56,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Craterispermum ledermannii,97,0.15,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Craterispermum longepedunculatum,16,-0.24,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Craterispermum microdon,1,0.46,0.46,0,1,0,0,0,0,0,wet (1)
Craterispermum motleyanum,34,0.04,0.23,0,1,0,0,0,0,0,wet (1)
Craterispermum parvifolium,17,0.29,0.47,0,1,0,0,0,0,0,wet (1)
Craterispermum robbrechtianum,23,0.1,0.43,0,1,0,0,0,0,0,wet (1)
Craterispermum schweinfurthii,129,-0.35,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Craterosiphon quarrei,6,-0.35,-0.23,0,0,1,0,0,0,0,moist (1)
Crateva adansonii,279,-0.83,-0.13,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Crateva eminens,49,-0.33,0.58,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crateva excelsa,75,-0.65,0.49,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crateva greveana,33,-0.69,0.01,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crateva kirkii,51,-0.61,-0.16,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crateva monticola,50,-0.31,0.27,0,2,3,0,0,0,0,wet (2) | moist (3)
Crateva obovata,53,-0.43,0.57,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Crateva palmeri,93,-0.64,0.1,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crateva religiosa,192,-0.53,0.62,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crateva tapia,1396,-0.59,0.48,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crateva unilocularis,15,-0.16,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crateva urbaniana,1,-0.52,-0.52,0,0,0,0,1,0,0,semi-arid (1)
Cratoxylum arborescens,78,0.2,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cratoxylum cochinchinense,185,-0.29,0.59,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Cratoxylum formosum,150,-0.32,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Cratoxylum glaucum,30,0.31,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cratoxylum maingayi,19,-0.36,0.61,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Cratoxylum sumatranum,76,0.02,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremaspora triflora,713,-0.47,0.32,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Cremastosperma alticola,2,-0.51,0.03,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Cremastosperma antioquense,5,0.54,0.6,1,0,0,0,0,0,0,very wet (1)
Cremastosperma awaense,20,-0.21,0.62,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Cremastosperma brachypodum,1,-0.12,-0.12,0,0,1,0,0,0,0,moist (1)
Cremastosperma brevipes,27,0.37,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma bullatum,9,0.15,0.2,0,1,0,0,0,0,0,wet (1)
Cremastosperma cauliflorum,103,0.26,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma cenepense,4,0.2,0.22,0,1,0,0,0,0,0,wet (1)
Cremastosperma chococola,3,0.54,0.72,1,0,0,0,0,0,0,very wet (1)
Cremastosperma confusum,29,0.11,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma dolichocarpum,14,0.3,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma gracilipes,103,0.34,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma leiophyllum,56,-0.17,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Cremastosperma longicuspe,17,-0.19,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Cremastosperma longipes,7,0.04,0.65,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma macrocarpum,7,-0.36,-0.23,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Cremastosperma magdalenae,7,0.34,0.45,0,1,0,0,0,0,0,wet (1)
Cremastosperma megalophyllum,101,0.15,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma microcarpum,40,0.26,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma monospermum,126,-0.01,0.37,0,2,3,0,0,0,0,wet (2) | moist (3)
Cremastosperma napoense,35,0.45,0.66,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma novogranatense,5,0.69,0.78,1,0,0,0,0,0,0,very wet (1)
Cremastosperma oblongum,46,-0.38,0.35,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Cremastosperma osicola,10,0.42,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma pacificum,7,0.36,0.78,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma panamense,36,0.44,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma pedunculatum,45,-0.3,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Cremastosperma pendulum,17,0.08,0.29,0,1,0,0,0,0,0,wet (1)
Cremastosperma peruvianum,19,0.15,0.3,0,1,0,0,0,0,0,wet (1)
Cremastosperma stenophyllum,2,0.33,0.47,0,1,0,0,0,0,0,wet (1)
Cremastosperma venezuelanum,6,-0.47,-0.25,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Cremastosperma westrae,8,0.43,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Cremastosperma yamayakatense,16,0.0,0.28,0,1,0,0,0,0,0,wet (1)
Crescentia alata,512,-0.64,0.11,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crescentia amazonica,39,-0.09,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Crescentia cujete,1267,-0.53,0.52,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crescentia linearifolia,7,-0.49,-0.35,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Crescentia mirabilis,4,-0.47,0.06,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Crescentia portoricensis,4,-0.37,0.31,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Crinodendron brasiliense,10,0.27,0.47,0,1,0,0,0,0,0,wet (1)
Crinodendron patagua,29,-0.75,0.39,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crinodendron tucumanum,43,-0.59,-0.39,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Crioceras dipladeniiflorus,29,-0.1,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Critonia aromatisans,10,-0.42,0.2,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Critonia daleoides,275,-0.42,0.53,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Critonia hebebotrya,91,-0.57,0.26,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Critonia heteroneura,5,-0.34,0.06,0,2,3,0,0,0,0,wet (2) | moist (3)
Critonia inaequidens,9,-0.27,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Critonia morifolia,598,-0.47,0.51,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Critonia nubigenus,26,-0.3,0.36,0,2,3,0,0,0,0,wet (2) | moist (3)
Critonia paneroi,1,-0.15,-0.15,0,0,1,0,0,0,0,moist (1)
Critonia portoricensis,14,-0.09,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniadelphus microdon,2,0.4,0.45,0,1,0,0,0,0,0,wet (1)
Critoniella acuminata,85,-0.16,0.56,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Critoniopsis bogotana,19,-0.09,0.38,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis choquetangensis,4,-0.43,-0.28,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Critoniopsis cinerea,2,0.06,0.1,0,1,0,0,0,0,0,wet (1)
Critoniopsis cotopaxensis,2,-0.11,0.03,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis cuatrecasasii,4,-0.14,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis dorrii,3,-0.41,0.44,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Critoniopsis elbertiana,7,-0.33,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis floribunda,23,-0.59,0.13,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Critoniopsis franciscana,1,0.66,0.66,1,0,0,0,0,0,0,very wet (1)
Critoniopsis glandulata,33,-0.1,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis harlingii,1,-0.56,-0.56,0,0,0,0,1,0,0,semi-arid (1)
Critoniopsis jelskii,20,-0.49,0.21,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Critoniopsis lindenii,33,0.08,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Critoniopsis macrofoliata,2,-0.31,-0.11,0,0,1,0,0,0,0,moist (1)
Critoniopsis meridensis,1,-0.25,-0.25,0,0,1,0,0,0,0,moist (1)
Critoniopsis occidentalis,36,-0.18,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis palaciosii,7,-0.18,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis paradoxa,17,-0.28,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Critoniopsis paucartambensis,5,-0.6,0.05,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Critoniopsis pycnantha,15,-0.54,0.32,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Critoniopsis quinqueflora,120,0.11,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Critoniopsis sagasteguii,2,-0.61,0.01,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Critoniopsis sodiroi,31,-0.46,0.56,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Critoniopsis tungurahuae,4,-0.41,0.48,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Critoniopsis uribei,2,0.07,0.15,0,1,0,0,0,0,0,wet (1)
Critoniopsis ursicola,9,0.21,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croizatia brevipetiolata,23,-0.13,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Croizatia naiguatensis,2,-0.04,0.06,0,2,3,0,0,0,0,wet (2) | moist (3)
Croizatia neotropica,3,-0.01,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croizatia panamensis,11,0.23,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crossopetalum densiflorum,15,-0.27,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crossopetalum enervium,37,0.36,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crossopetalum filipes,95,-0.41,0.44,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Crossopetalum minimiflorum,23,-0.03,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crossopetalum parviflorum,509,-0.31,0.58,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crossopetalum rhacoma,117,-0.6,0.08,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crossopetalum uragoga,313,-0.5,0.15,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Crossopteryx febrifuga,2674,-0.63,-0.11,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crossosoma californicum,43,-0.78,-0.62,0,0,0,0,1,0,0,semi-arid (1)
Crossosperma cauliflora,4,0.42,0.48,0,1,0,0,0,0,0,wet (1)
Crossosperma velutina,14,0.2,0.47,0,1,0,0,0,0,0,wet (1)
Crossostylis banksiana,1,0.57,0.57,1,0,0,0,0,0,0,very wet (1)
Crossostylis biflora,23,0.32,0.69,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crossostylis grandiflora,14,0.17,0.48,0,1,0,0,0,0,0,wet (1)
Crossostylis multiflora,18,0.28,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crossostylis parksii,1,0.65,0.65,1,0,0,0,0,0,0,very wet (1)
Crossostylis richii,1,0.61,0.61,1,0,0,0,0,0,0,very wet (1)
Crossostylis sebertii,11,-0.07,0.34,0,2,3,0,0,0,0,wet (2) | moist (3)
Crossothamnus gentryi,6,0.0,0.36,0,1,0,0,0,0,0,wet (1)
Crotalaria agatiflora,154,-0.57,0.23,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crotalaria cajanifolia,462,-0.61,0.38,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crotalaria dinteri,6,-0.89,-0.29,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Crotalaria exaltata,1,-0.41,-0.41,0,0,0,1,0,0,0,dry sub-humid (1)
Crotalaria grandibracteata,11,-0.65,-0.12,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Crotalaria longirostrata,397,-0.6,0.34,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Crotalaria socotrana,4,-0.92,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Croton abonari,1,0.33,0.33,0,1,0,0,0,0,0,wet (1)
Croton abutilifolius,10,-0.63,-0.42,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton abutiloides,52,-0.54,0.45,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton aceroides,3,-0.62,-0.46,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton acronychioides,181,-0.53,0.3,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton acutifolius,4,-0.35,0.06,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton adenophorus,52,-0.12,0.25,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton adipatus,13,-0.67,-0.03,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton aequatoris,12,-0.8,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton agoensis,97,-0.46,-0.01,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Croton alamosanus,134,-0.8,-0.35,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton alchorneicarpus,35,-0.03,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton aleuritoides,3,-0.25,-0.22,0,0,1,0,0,0,0,moist (1)
Croton alienus,11,-0.53,-0.29,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton amazonicus,4,0.31,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton amplifolius,3,0.52,0.53,1,0,0,0,0,0,0,very wet (1)
Croton ankeranae,5,0.26,0.34,0,1,0,0,0,0,0,wet (1)
Croton antae,1,0.57,0.57,1,0,0,0,0,0,0,very wet (1)
Croton arboreus,304,-0.49,0.19,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton argyratus,180,0.07,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton argyrodaphne,103,-0.47,0.51,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Croton argyrophyllus,161,-0.67,0.11,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton aristophlebius,7,0.09,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton arnhemicus,711,-0.55,0.09,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton aromaticus,4,-0.84,0.42,0,2,9,9,9,3,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (9) | arid (3)
Croton astroites,17,-0.48,0.26,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton aubrevillei,15,-0.24,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton axillaris,59,-0.7,0.12,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton barorum,4,-0.67,-0.47,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton beetlei,22,-0.65,0.16,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton bergassae,4,0.12,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton bernieri,41,-0.47,0.05,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton betulinus,39,-0.52,0.11,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton billbergianus,305,0.02,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton blanchetianus,408,-0.73,-0.2,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton boavitanus,1,-0.06,-0.06,0,0,1,0,0,0,0,moist (1)
Croton borneensis,1,0.35,0.35,0,1,0,0,0,0,0,wet (1)
Croton brachypus,22,-0.01,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton bracteatus,4,0.28,0.45,0,1,0,0,0,0,0,wet (1)
Croton brevipes,68,0.41,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton brieyi,9,-0.27,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton bryophorus,1,0.36,0.36,0,1,0,0,0,0,0,wet (1)
Croton byrnesii,24,-0.21,-0.07,0,0,1,0,0,0,0,moist (1)
Croton cajucara,78,-0.18,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton campanulatus,6,0.09,0.49,0,1,0,0,0,0,0,wet (1)
Croton campenonii,15,-0.11,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton campinarensis,4,0.29,0.43,0,1,0,0,0,0,0,wet (1)
Croton capitis-york,61,-0.15,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton caracasanus,11,-0.18,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton carpostellatus,1,0.35,0.35,0,1,0,0,0,0,0,wet (1)
Croton carrii,1,0.54,0.54,1,0,0,0,0,0,0,very wet (1)
Croton cascarilloides,156,-0.28,0.67,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton catati,55,-0.53,0.1,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton caudatus,94,0.01,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton ceanothifolius,82,0.03,0.38,0,1,0,0,0,0,0,wet (1)
Croton cearensis,1,0.43,0.43,0,1,0,0,0,0,0,wet (1)
Croton celtidifolius,119,-0.14,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton chamelensis,18,-0.48,-0.36,0,0,0,1,0,0,0,dry sub-humid (1)
Croton chapelieri,43,-0.32,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton charaguensis,10,-0.61,-0.31,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton chlaenacicomes,23,-0.73,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Croton chocoanus,35,0.37,0.79,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton choristadenius,29,0.16,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton chrysodaphne,57,0.03,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton churutensis,6,-0.34,-0.16,0,0,1,0,0,0,0,moist (1)
Croton chypreae,7,0.03,0.12,0,1,0,0,0,0,0,wet (1)
Croton coccymelophyllus,4,-0.11,0.36,0,2,3,0,0,0,0,wet (2) | moist (3)
