species|n|Q05|Q95|A|B|C|D|E|F|G
Abrahamia humbertii|8|-0.37|-0.04|0|0|2|3|0|0|0
Abrahamia latifolia|12|-0.18|0.57|2|9|3|0|0|0|0
Abrahamia lecomtei|13|0.05|0.51|2|3|0|0|0|0|0
Abrahamia longipetiolata|6|-0.21|0.05|0|2|3|0|0|0|0
Abrahamia louvelii|4|0.21|0.47|0|1|0|0|0|0|0
Abrahamia oblongifolia|7|-0.24|0.26|0|2|3|0|0|0|0
Abrahamia pauciflora|4|-0.29|0.22|0|2|3|0|0|0|0
Abrahamia phillipsonii|32|-0.65|-0.39|0|0|0|2|3|0|0
Abrahamia sericea|67|-0.23|0.58|2|9|3|0|0|0|0
Abrahamia suarezensis|28|-0.3|0.14|0|2|3|0|0|0|0
Abrahamia thouvenotii|54|-0.12|0.36|0|2|3|0|0|0|0
Abrahamia viguieri|17|-0.06|0.46|0|2|3|0|0|0|0
Abroma augustum|90|-0.19|0.6|2|9|3|0|0|0|0
Abuta grandifolia|829|-0.14|0.55|2|9|3|0|0|0|0
Abuta grisebachii|27|0.08|0.5|2|3|0|0|0|0|0
Abuta imene|111|0|0.52|2|3|0|0|0|0|0
Abuta panurensis|14|0.07|0.42|0|1|0|0|0|0|0
Abuta rufescens|116|-0.02|0.52|2|9|3|0|0|0|0
Abuta sandwithiana|53|0.02|0.44|0|1|0|0|0|0|0
Abuta velutina|29|0.14|0.53|2|3|0|0|0|0|0
Abutilon densiflorum|96|-0.24|0.23|0|2|3|0|0|0|0
Abutilon giganteum|27|-0.55|0.42|0|2|9|9|3|0|0
Abutilon grandidentatum|13|-0.67|-0.56|0|0|0|0|1|0|0
Abutilon grewiifolium|1|-0.01|-0.01|0|0|1|0|0|0|0
Abutilon haenkeanum|14|-0.65|-0.08|0|0|2|9|3|0|0
Abutilon herzogianum|17|-0.76|-0.57|0|0|0|0|1|0|0
Abutilon incanum|523|-0.92|-0.57|0|0|0|0|2|3|0
Abutilon myrianthum|18|-0.02|0.48|0|2|3|0|0|0|0
Abutilon pyramidale|3|-0.28|-0.09|0|0|1|0|0|0|0
Abutilon ramiflorum|77|-0.47|0.2|0|2|9|3|0|0|0
Abutilon sachetianum|4|-0.21|0.28|0|2|3|0|0|0|0
Abutilon stenopetalum|4|-0.45|-0.37|0|0|0|1|0|0|0
Abutilon thyrsodendron|21|-0.62|-0.33|0|0|2|9|3|0|0
Abutilon virginianum|4|-0.14|0.13|0|2|3|0|0|0|0
Abutilon whistleri|2|0.68|0.72|1|0|0|0|0|0|0
Acacia acradenia|526|-0.84|-0.63|0|0|0|0|2|3|0
Acacia acrionastes|31|-0.44|0.13|0|2|9|3|0|0|0
Acacia aculeatissima|13|-0.54|0.53|2|9|9|9|3|0|0
Acacia acuminata|918|-0.84|-0.64|0|0|0|0|2|3|0
Acacia adsurgens|682|-0.86|-0.72|0|0|0|0|2|3|0
Acacia adunca|110|-0.44|-0.16|0|0|2|3|0|0|0
Acacia aestivalis|83|-0.81|-0.71|0|0|0|0|2|3|0
Acacia alleniana|262|-0.72|-0.12|0|0|2|9|3|0|0
Acacia amblyophylla|9|-0.86|-0.8|0|0|0|0|2|3|0
Acacia ammobia|81|-0.86|-0.79|0|0|0|0|2|3|0
Acacia ammophila|28|-0.81|-0.79|0|0|0|0|2|3|0
Acacia ampliata|8|-0.86|-0.79|0|0|0|0|2|3|0
Acacia ampliceps|220|-0.86|-0.54|0|0|0|0|2|3|0
Acacia anastema|27|-0.88|-0.86|0|0|0|0|0|1|0
Acacia anaticeps|37|-0.83|-0.75|0|0|0|0|2|3|0
Acacia ancistrocarpa|789|-0.87|-0.68|0|0|0|0|2|3|0
Acacia aneura|5854|-0.9|-0.75|0|0|0|0|2|3|0
Acacia anfractuosa|78|-0.82|-0.77|0|0|0|0|2|3|0
Acacia angusta|67|-0.66|-0.54|0|0|0|0|1|0|0
Acacia anthochaera|125|-0.83|-0.78|0|0|0|0|2|3|0
Acacia aprepta|67|-0.72|-0.58|0|0|0|0|1|0|0
Acacia aptaneura|650|-0.89|-0.78|0|0|0|0|2|3|0
Acacia arafurica|25|-0.3|-0.04|0|0|1|0|0|0|0
Acacia araneosa|39|-0.9|-0.84|0|0|0|0|0|1|0
Acacia argyraea|122|-0.76|-0.53|0|0|0|0|1|0|0
Acacia argyrodendron|70|-0.74|-0.58|0|0|0|0|1|0|0
Acacia armillata|23|-0.5|0.06|0|2|9|3|0|0|0
Acacia armitii|26|-0.65|0.02|0|2|9|9|3|0|0
Acacia assimilis|420|-0.82|-0.67|0|0|0|0|2|3|0
Acacia atopa|13|-0.89|-0.86|0|0|0|0|0|1|0
Acacia attenuata|61|-0.25|0.15|0|2|3|0|0|0|0
Acacia aulacocarpa|598|-0.56|0.31|0|2|9|9|3|0|0
Acacia auriculiformis|1546|-0.45|0.28|0|2|9|3|0|0|0
Acacia auripila|3|-0.86|-0.86|0|0|0|0|0|1|0
Acacia ausfeldii|277|-0.6|-0.42|0|0|0|2|3|0|0
Acacia axillaris|148|-0.45|0.04|0|2|9|3|0|0|0
Acacia ayersiana|343|-0.9|-0.77|0|0|0|0|2|3|0
Acacia baileyana|2394|-0.64|0.13|0|2|9|9|3|0|0
Acacia bakeri|159|-0.24|0.33|0|2|3|0|0|0|0
Acacia bancroftiorum|275|-0.67|-0.46|0|0|0|2|3|0|0
Acacia barrettiorum|7|-0.32|-0.27|0|0|1|0|0|0|0
Acacia beauverdiana|112|-0.81|-0.74|0|0|0|0|2|3|0
Acacia binervata|1327|-0.17|0.34|0|2|3|0|0|0|0
Acacia binervia|733|-0.5|0.21|0|2|9|3|0|0|0
Acacia blakei|591|-0.66|0.07|0|2|9|9|3|0|0
Acacia blakelyi|258|-0.81|-0.64|0|0|0|0|2|3|0
Acacia blayana|22|-0.36|-0.13|0|0|2|3|0|0|0
Acacia brachystachya|539|-0.9|-0.73|0|0|0|0|2|3|0
Acacia brassii|110|-0.23|0.28|0|2|3|0|0|0|0
Acacia brockii|48|-0.43|-0.13|0|0|2|3|0|0|0
Acacia bromilowiana|17|-0.84|-0.76|0|0|0|0|2|3|0
Acacia brumalis|82|-0.8|-0.66|0|0|0|0|1|0|0
Acacia bulgaensis|53|-0.5|-0.26|0|0|2|3|0|0|0
Acacia burrowii|273|-0.69|-0.49|0|0|0|2|3|0|0
Acacia burrowsiana|10|-0.88|-0.84|0|0|0|0|0|1|0
Acacia caerulescens|46|-0.43|-0.2|0|0|2|3|0|0|0
Acacia caesaneura|178|-0.87|-0.81|0|0|0|0|0|1|0
Acacia caesiella|224|-0.53|-0.03|0|0|2|9|3|0|0
Acacia calamifolia|1392|-0.8|-0.58|0|0|0|0|1|0|0
Acacia calcicola|291|-0.9|-0.77|0|0|0|0|2|3|0
Acacia cambagei|917|-0.92|-0.69|0|0|0|0|2|3|0
Acacia cana|132|-0.87|-0.76|0|0|0|0|2|3|0
Acacia cangaiensis|36|-0.19|0.11|0|2|3|0|0|0|0
Acacia cardiophylla|113|-0.69|-0.22|0|0|2|9|3|0|0
Acacia carneorum|301|-0.91|-0.82|0|0|0|0|0|1|0
Acacia caroleae|492|-0.65|-0.49|0|0|0|2|3|0|0
Acacia catenulata|164|-0.85|-0.59|0|0|0|0|2|3|0
Acacia celastrifolia|108|-0.73|-0.16|0|0|2|9|3|0|0
Acacia chartacea|69|-0.87|-0.8|0|0|0|0|2|3|0
Acacia chisholmii|260|-0.82|-0.55|0|0|0|0|2|3|0
Acacia chrysotricha|21|0.25|0.33|0|1|0|0|0|0|0
Acacia cincinnata|129|-0.22|0.57|2|9|3|0|0|0|0
Acacia citrinoviridis|186|-0.89|-0.79|0|0|0|0|2|3|0
Acacia clunies-rossiae|125|-0.3|-0.15|0|0|1|0|0|0|0
Acacia cockertoniana|107|-0.86|-0.81|0|0|0|0|0|1|0
Acacia cognata|550|-0.26|0.13|0|2|3|0|0|0|0
Acacia colei|580|-0.84|-0.56|0|0|0|0|2|3|0
Acacia complanata|625|-0.6|0.18|0|2|9|9|3|0|0
Acacia concurrens|936|-0.48|0.19|0|2|9|3|0|0|0
