species|n|Q05|Q95|A|B|C|D|E|F|G
Cremastosperma napoense|35|0.45|0.66|2|3|0|0|0|0|0
Cremastosperma novogranatense|5|0.69|0.78|1|0|0|0|0|0|0
Cremastosperma oblongum|46|-0.38|0.35|0|2|9|3|0|0|0
Cremastosperma osicola|10|0.42|0.55|2|3|0|0|0|0|0
Cremastosperma pacificum|7|0.36|0.78|2|3|0|0|0|0|0
Cremastosperma panamense|36|0.44|0.62|2|3|0|0|0|0|0
Cremastosperma pedunculatum|45|-0.3|0.44|0|2|3|0|0|0|0
Cremastosperma pendulum|17|0.08|0.29|0|1|0|0|0|0|0
Cremastosperma peruvianum|19|0.15|0.3|0|1|0|0|0|0|0
Cremastosperma stenophyllum|2|0.33|0.47|0|1|0|0|0|0|0
Cremastosperma venezuelanum|6|-0.47|-0.25|0|0|2|3|0|0|0
Cremastosperma westrae|8|0.43|0.56|2|3|0|0|0|0|0
Cremastosperma yamayakatense|16|0|0.28|0|1|0|0|0|0|0
Crescentia alata|512|-0.64|0.11|0|2|9|9|3|0|0
Crescentia amazonica|39|-0.09|0.48|0|2|3|0|0|0|0
Crescentia cujete|1267|-0.53|0.52|2|9|9|9|3|0|0
Crescentia linearifolia|7|-0.49|-0.35|0|0|2|3|0|0|0
Crescentia mirabilis|4|-0.47|0.06|0|2|9|3|0|0|0
Crescentia portoricensis|4|-0.37|0.31|0|2|9|3|0|0|0
Crinodendron brasiliense|10|0.27|0.47|0|1|0|0|0|0|0
Crinodendron patagua|29|-0.75|0.39|0|2|9|9|3|0|0
Crinodendron tucumanum|43|-0.59|-0.39|0|0|0|2|3|0|0
Crioceras dipladeniiflorus|29|-0.1|0.45|0|2|3|0|0|0|0
Critonia aromatisans|10|-0.42|0.2|0|2|9|3|0|0|0
Critonia daleoides|275|-0.42|0.53|2|9|9|3|0|0|0
Critonia hebebotrya|91|-0.57|0.26|0|2|9|9|3|0|0
Critonia heteroneura|5|-0.34|0.06|0|2|3|0|0|0|0
Critonia inaequidens|9|-0.27|0.33|0|2|3|0|0|0|0
Critonia morifolia|598|-0.47|0.51|2|9|9|3|0|0|0
Critonia nubigenus|26|-0.3|0.36|0|2|3|0|0|0|0
Critonia paneroi|1|-0.15|-0.15|0|0|1|0|0|0|0
Critonia portoricensis|14|-0.09|0.33|0|2|3|0|0|0|0
Critoniadelphus microdon|2|0.4|0.45|0|1|0|0|0|0|0
Critoniella acuminata|85|-0.16|0.56|2|9|3|0|0|0|0
Critoniopsis bogotana|19|-0.09|0.38|0|2|3|0|0|0|0
Critoniopsis choquetangensis|4|-0.43|-0.28|0|0|2|3|0|0|0
Critoniopsis cinerea|2|0.06|0.1|0|1|0|0|0|0|0
Critoniopsis cotopaxensis|2|-0.11|0.03|0|2|3|0|0|0|0
Critoniopsis cuatrecasasii|4|-0.14|0.41|0|2|3|0|0|0|0
Critoniopsis dorrii|3|-0.41|0.44|0|2|9|3|0|0|0
Critoniopsis elbertiana|7|-0.33|0.48|0|2|3|0|0|0|0
Critoniopsis floribunda|23|-0.59|0.13|0|2|9|9|3|0|0
Critoniopsis franciscana|1|0.66|0.66|1|0|0|0|0|0|0
Critoniopsis glandulata|33|-0.1|0.44|0|2|3|0|0|0|0
Critoniopsis harlingii|1|-0.56|-0.56|0|0|0|0|1|0|0
Critoniopsis jelskii|20|-0.49|0.21|0|2|9|3|0|0|0
Critoniopsis lindenii|33|0.08|0.56|2|3|0|0|0|0|0
Critoniopsis macrofoliata|2|-0.31|-0.11|0|0|1|0|0|0|0
Critoniopsis meridensis|1|-0.25|-0.25|0|0|1|0|0|0|0
Critoniopsis occidentalis|36|-0.18|0.49|0|2|3|0|0|0|0
Critoniopsis palaciosii|7|-0.18|0.14|0|2|3|0|0|0|0
Critoniopsis paradoxa|17|-0.28|0.24|0|2|3|0|0|0|0
Critoniopsis paucartambensis|5|-0.6|0.05|0|2|9|9|3|0|0
Critoniopsis pycnantha|15|-0.54|0.32|0|2|9|9|3|0|0
Critoniopsis quinqueflora|120|0.11|0.52|2|3|0|0|0|0|0
Critoniopsis sagasteguii|2|-0.61|0.01|0|2|9|9|3|0|0
Critoniopsis sodiroi|31|-0.46|0.56|2|9|9|3|0|0|0
Critoniopsis tungurahuae|4|-0.41|0.48|0|2|9|3|0|0|0
Critoniopsis uribei|2|0.07|0.15|0|1|0|0|0|0|0
Critoniopsis ursicola|9|0.21|0.5|2|3|0|0|0|0|0
Croizatia brevipetiolata|23|-0.13|0.41|0|2|3|0|0|0|0
Croizatia naiguatensis|2|-0.04|0.06|0|2|3|0|0|0|0
Croizatia neotropica|3|-0.01|0.5|2|9|3|0|0|0|0
Croizatia panamensis|11|0.23|0.58|2|3|0|0|0|0|0
Crossopetalum densiflorum|15|-0.27|0.55|2|9|3|0|0|0|0
Crossopetalum enervium|37|0.36|0.61|2|3|0|0|0|0|0
Crossopetalum filipes|95|-0.41|0.44|0|2|9|3|0|0|0
Crossopetalum minimiflorum|23|-0.03|0.57|2|9|3|0|0|0|0
Crossopetalum parviflorum|509|-0.31|0.58|2|9|3|0|0|0|0
Crossopetalum rhacoma|117|-0.6|0.08|0|2|9|9|3|0|0
Crossopetalum uragoga|313|-0.5|0.15|0|2|9|3|0|0|0
Crossopteryx febrifuga|2674|-0.63|-0.11|0|0|2|9|3|0|0
Crossosoma californicum|43|-0.78|-0.62|0|0|0|0|1|0|0
Crossosperma cauliflora|4|0.42|0.48|0|1|0|0|0|0|0
Crossosperma velutina|14|0.2|0.47|0|1|0|0|0|0|0
Crossostylis banksiana|1|0.57|0.57|1|0|0|0|0|0|0
Crossostylis biflora|23|0.32|0.69|2|3|0|0|0|0|0
Crossostylis grandiflora|14|0.17|0.48|0|1|0|0|0|0|0
Crossostylis multiflora|18|0.28|0.6|2|3|0|0|0|0|0
Crossostylis parksii|1|0.65|0.65|1|0|0|0|0|0|0
Crossostylis richii|1|0.61|0.61|1|0|0|0|0|0|0
Crossostylis sebertii|11|-0.07|0.34|0|2|3|0|0|0|0
Crossothamnus gentryi|6|0|0.36|0|1|0|0|0|0|0
Crotalaria agatiflora|154|-0.57|0.23|0|2|9|9|3|0|0
Crotalaria cajanifolia|462|-0.61|0.38|0|2|9|9|3|0|0
Crotalaria dinteri|6|-0.89|-0.29|0|0|2|9|9|3|0
Crotalaria exaltata|1|-0.41|-0.41|0|0|0|1|0|0|0
Crotalaria grandibracteata|11|-0.65|-0.12|0|0|2|9|3|0|0
Crotalaria longirostrata|397|-0.6|0.34|0|2|9|9|3|0|0
Crotalaria socotrana|4|-0.92|-0.79|0|0|0|0|2|3|0
Croton abonari|1|0.33|0.33|0|1|0|0|0|0|0
Croton abutilifolius|10|-0.63|-0.42|0|0|0|2|3|0|0
Croton abutiloides|52|-0.54|0.45|0|2|9|9|3|0|0
Croton aceroides|3|-0.62|-0.46|0|0|0|2|3|0|0
Croton acronychioides|181|-0.53|0.3|0|2|9|9|3|0|0
Croton acutifolius|4|-0.35|0.06|0|2|3|0|0|0|0
Croton adenophorus|52|-0.12|0.25|0|2|3|0|0|0|0
Croton adipatus|13|-0.67|-0.03|0|0|2|9|3|0|0
Croton aequatoris|12|-0.8|0.28|0|2|9|9|3|0|0
Croton agoensis|97|-0.46|-0.01|0|0|2|3|0|0|0
Croton alamosanus|134|-0.8|-0.35|0|0|2|9|3|0|0
Croton alchorneicarpus|35|-0.03|0.5|2|9|3|0|0|0|0
Croton aleuritoides|3|-0.25|-0.22|0|0|1|0|0|0|0
Croton alienus|11|-0.53|-0.29|0|0|2|9|3|0|0
Croton amazonicus|4|0.31|0.5|2|3|0|0|0|0|0
Croton amplifolius|3|0.52|0.53|1|0|0|0|0|0|0
Croton ankeranae|5|0.26|0.34|0|1|0|0|0|0|0
Croton antae|1|0.57|0.57|1|0|0|0|0|0|0
Croton arboreus|304|-0.49|0.19|0|2|9|3|0|0|0
Croton argyratus|180|0.07|0.6|2|3|0|0|0|0|0
Croton argyrodaphne|103|-0.47|0.51|2|9|9|3|0|0|0
Croton argyrophyllus|161|-0.67|0.11|0|2|9|9|3|0|0
Croton aristophlebius|7|0.09|0.5|2|3|0|0|0|0|0
Croton arnhemicus|711|-0.55|0.09|0|2|9|9|3|0|0
Croton aromaticus|4|-0.84|0.42|0|2|9|9|9|3|0
Croton astroites|17|-0.48|0.26|0|2|9|3|0|0|0
Croton aubrevillei|15|-0.24|0.49|0|2|3|0|0|0|0
Croton axillaris|59|-0.7|0.12|0|2|9|9|3|0|0
Croton barorum|4|-0.67|-0.47|0|0|0|2|3|0|0
Croton beetlei|22|-0.65|0.16|0|2|9|9|3|0|0
Croton bergassae|4|0.12|0.51|2|3|0|0|0|0|0
Croton bernieri|41|-0.47|0.05|0|2|9|3|0|0|0
Croton betulinus|39|-0.52|0.11|0|2|9|9|3|0|0
Croton billbergianus|305|0.02|0.6|2|3|0|0|0|0|0
Croton blanchetianus|408|-0.73|-0.2|0|0|2|9|3|0|0
Croton boavitanus|1|-0.06|-0.06|0|0|1|0|0|0|0
Croton borneensis|1|0.35|0.35|0|1|0|0|0|0|0
Croton brachypus|22|-0.01|0.29|0|2|3|0|0|0|0
Croton bracteatus|4|0.28|0.45|0|1|0|0|0|0|0
Croton brevipes|68|0.41|0.6|2|3|0|0|0|0|0
Croton brieyi|9|-0.27|0.42|0|2|3|0|0|0|0
Croton bryophorus|1|0.36|0.36|0|1|0|0|0|0|0
Croton byrnesii|24|-0.21|-0.07|0|0|1|0|0|0|0
Croton cajucara|78|-0.18|0.42|0|2|3|0|0|0|0
Croton campanulatus|6|0.09|0.49|0|1|0|0|0|0|0
Croton campenonii|15|-0.11|0.24|0|2|3|0|0|0|0
Croton campinarensis|4|0.29|0.43|0|1|0|0|0|0|0
Croton capitis-york|61|-0.15|0.24|0|2|3|0|0|0|0
Croton caracasanus|11|-0.18|0.46|0|2|3|0|0|0|0
Croton carpostellatus|1|0.35|0.35|0|1|0|0|0|0|0
Croton carrii|1|0.54|0.54|1|0|0|0|0|0|0
Croton cascarilloides|156|-0.28|0.67|2|9|3|0|0|0|0
Croton catati|55|-0.53|0.1|0|2|9|9|3|0|0
Croton caudatus|94|0.01|0.58|2|3|0|0|0|0|0
Croton ceanothifolius|82|0.03|0.38|0|1|0|0|0|0|0
Croton cearensis|1|0.43|0.43|0|1|0|0|0|0|0
Croton celtidifolius|119|-0.14|0.42|0|2|3|0|0|0|0
Croton chamelensis|18|-0.48|-0.36|0|0|0|1|0|0|0
Croton chapelieri|43|-0.32|0.51|2|9|3|0|0|0|0
Croton charaguensis|10|-0.61|-0.31|0|0|2|9|3|0|0
Croton chlaenacicomes|23|-0.73|-0.51|0|0|0|0|1|0|0
Croton chocoanus|35|0.37|0.79|2|3|0|0|0|0|0
Croton choristadenius|29|0.16|0.53|2|3|0|0|0|0|0
Croton chrysodaphne|57|0.03|0.58|2|3|0|0|0|0|0
Croton churutensis|6|-0.34|-0.16|0|0|1|0|0|0|0
Croton chypreae|7|0.03|0.12|0|1|0|0|0|0|0
Croton coccymelophyllus|4|-0.11|0.36|0|2|3|0|0|0|0
Croton compressus|14|-0.26|-0.07|0|0|1|0|0|0|0
Croton confertus|17|-0.98|-0.9|0|0|0|0|0|2|3
Croton coriaceus|23|-0.37|0.31|0|2|9|3|0|0|0
Croton coriifolius|2|0.33|0.62|2|3|0|0|0|0|0
Croton corinthius|5|0.58|0.6|1|0|0|0|0|0|0
Croton cortesianus|529|-0.65|0.08|0|2|9|9|3|0|0
Croton corylifolius|18|-0.65|0.33|0|2|9|9|3|0|0
Croton costatus|25|0.02|0.6|2|3|0|0|0|0|0
Croton crossolepis|5|-0.69|-0.67|0|0|0|0|1|0|0
Croton cuneatus|314|0.04|0.51|2|3|0|0|0|0|0
Croton cupreatus|12|-0.32|0.45|0|2|3|0|0|0|0
Croton cupreolepis|29|-0.34|0.58|2|9|3|0|0|0|0
Croton curranii|6|-0.42|0.06|0|2|9|3|0|0|0
Croton damayeshu|5|-0.05|0.2|0|2|3|0|0|0|0
Croton decalobus|16|-0.32|0.63|2|9|3|0|0|0|0
Croton delpyi|9|0.03|0.29|0|1|0|0|0|0|0
Croton deserticola|2|-0.46|-0.35|0|0|2|3|0|0|0
Croton diasii|4|-0.01|0.47|0|2|3|0|0|0|0
Croton dichogamus|54|-0.7|-0.27|0|0|2|9|3|0|0
Croton dictyophlebodes|4|-0.4|-0.12|0|0|2|3|0|0|0
Croton discolor|53|-0.62|0.17|0|2|9|9|3|0|0
Croton dispar|9|-0.26|0.35|0|2|3|0|0|0|0
Croton dissectistipulatus|4|0.3|0.33|0|1|0|0|0|0|0
Croton domatifer|1|-0.36|-0.36|0|0|0|1|0|0|0
Croton draco|799|-0.41|0.55|2|9|9|3|0|0|0
Croton draconoides|28|-0.27|0.55|2|9|3|0|0|0|0
Croton eichleri|2|0.01|0.09|0|1|0|0|0|0|0
Croton ekmanii|8|0.33|0.49|0|1|0|0|0|0|0
Croton eluteria|22|-0.49|0.13|0|2|9|3|0|0|0
Croton enigmaticus|6|-0.13|0.15|0|2|3|0|0|0|0
Croton erythrostachys|19|0.31|0.53|2|3|0|0|0|0|0
Croton euryphyllus|21|-0.46|0.36|0|2|9|3|0|0|0
Croton fantzianus|27|-0.66|-0.04|0|0|2|9|3|0|0
Croton fianarantsoae|50|-0.25|0.44|0|2|3|0|0|0|0
Croton flavens|208|-0.57|0.24|0|2|9|9|3|0|0
Croton flavispicatus|38|-0.49|0.24|0|2|9|3|0|0|0
Croton floribundus|329|-0.44|0.31|0|2|9|3|0|0|0
Croton fragilis|128|-0.7|0|0|2|9|9|3|0|0
Croton fragrans|47|-0.37|0.46|0|2|9|3|0|0|0
Croton fragrantulus|5|-0.29|0.09|0|2|3|0|0|0|0
Croton gageianus|2|-0.4|0.45|0|2|9|3|0|0|0
Croton gibsonianus|1|0.06|0.06|0|1|0|0|0|0|0
Croton glabellus|348|-0.46|0.41|0|2|9|3|0|0|0
Croton gossypiifolius|107|-0.42|0.49|0|2|9|3|0|0|0
Croton goudotii|69|-0.31|0.23|0|2|3|0|0|0|0
Croton gracilipes|245|-0.63|0.07|0|2|9|9|3|0|0
Croton gratissimus|458|-0.83|-0.3|0|0|2|9|9|3|0
Croton greveanus|49|-0.68|0.05|0|2|9|9|3|0|0
Croton grewiifolius|21|-0.54|0.06|0|2|9|9|3|0|0
Croton griffithii|29|0.05|0.59|2|3|0|0|0|0|0
Croton grisebachianus|2|-0.18|0.3|0|2|3|0|0|0|0
Croton griseus|2|0.31|0.31|0|1|0|0|0|0|0
Croton guatemalensis|267|-0.46|0.41|0|2|9|3|0|0|0
Croton guianensis|42|-0.1|0.55|2|9|3|0|0|0|0
Croton habrophyllus|153|-0.68|0.06|0|2|9|9|3|0|0
Croton haumanianus|33|-0.13|0.23|0|2|3|0|0|0|0
Croton heliotropiifolius|915|-0.71|0.03|0|2|9|9|3|0|0
Croton hemiargyreus|12|-0.52|0.17|0|2|9|9|3|0|0
Croton heteranthus|9|-0.14|0.53|2|9|3|0|0|0|0
Croton heterocarpus|13|0.22|0.61|2|3|0|0|0|0|0
Croton heterotrichus|2|0.62|0.7|1|0|0|0|0|0|0
Croton hibiscifolius|60|-0.16|0.54|2|9|3|0|0|0|0
Croton hircinus|29|-0.65|0.43|0|2|9|9|3|0|0
Croton hoffmannii|23|0.23|0.62|2|3|0|0|0|0|0
Croton hostmannii|20|-0.07|0.5|2|9|3|0|0|0|0
Croton howii|3|0|0.1|0|1|0|0|0|0|0
Croton huberi|4|-0.32|-0.13|0|0|1|0|0|0|0
Croton huitotorum|1|0.01|0.01|0|1|0|0|0|0|0
Croton humblotii|2|0.43|0.43|0|1|0|0|0|0|0
Croton hutchinsonianus|13|-0.44|0.19|0|2|9|3|0|0|0
Croton icche|75|-0.56|-0.22|0|0|2|9|3|0|0
Croton impressus|29|-0.38|0.32|0|2|9|3|0|0|0
Croton inhambanensis|4|-0.46|-0.44|0|0|0|1|0|0|0
Croton insularis|551|-0.6|0.33|0|2|9|9|3|0|0
Croton isomonensis|7|-0.71|-0.39|0|0|0|2|3|0|0
Croton jacmelianus|6|-0.47|-0.34|0|0|2|3|0|0|0
Croton jamaicensis|1|-0.32|-0.32|0|0|1|0|0|0|0
Croton jamesonii|1|-0.99|-0.99|0|0|0|0|0|0|1
Croton jansii|2|-0.04|-0.03|0|0|1|0|0|0|0
Croton jatrophoides|7|-0.45|0.01|0|2|9|3|0|0|0
Croton jimenezii|14|0.43|0.67|2|3|0|0|0|0|0
Croton jorgei|20|0.64|0.78|1|0|0|0|0|0|0
Croton joufra|3|0|0.21|0|1|0|0|0|0|0
Croton kerrii|9|-0.36|0.1|0|2|9|3|0|0|0
Croton killipianus|80|0.14|0.62|2|3|0|0|0|0|0
Croton klotzschianus|3|-0.03|0.22|0|2|3|0|0|0|0
Croton kongensis|31|-0.39|0.46|0|2|9|3|0|0|0
Croton kongkandanus|2|-0.15|0.25|0|2|3|0|0|0|0
Croton laccifer|8|-0.49|0.48|0|2|9|3|0|0|0
Croton laciniatistylus|4|-0.37|-0.27|0|0|2|3|0|0|0
Croton laevigatus|8|-0.2|0.32|0|2|3|0|0|0|0
Croton lagoensis|7|-0.01|0.2|0|2|3|0|0|0|0
Croton laurinus|6|0.16|0.37|0|1|0|0|0|0|0
Croton lechleri|252|-0.29|0.65|2|9|3|0|0|0|0
Croton leiophyllus|16|-0.17|0.55|2|9|3|0|0|0|0
Croton leuconeurus|8|-0.69|-0.03|0|0|2|9|3|0|0
Croton levatii|3|0.51|0.57|1|0|0|0|0|0|0
Croton limae|43|-0.62|-0.29|0|0|2|9|3|0|0
Croton lissophyllus|4|-0.29|0.85|2|9|3|0|0|0|0
Croton longipedicellatus|18|-0.64|-0.26|0|0|2|9|3|0|0
Croton longiracemosus|20|0.04|0.55|2|3|0|0|0|0|0
Croton luciae|1|0.3|0.3|0|1|0|0|0|0|0
Croton lucidus|52|-0.52|0.2|0|2|9|9|3|0|0
Croton luetzelburgii|54|-0.58|-0.19|0|0|2|9|3|0|0
Croton maasii|2|0.39|0.4|0|1|0|0|0|0|0
Croton macrobothrys|85|-0.36|0.43|0|2|9|3|0|0|0
Croton macrodontus|22|0.01|0.56|2|3|0|0|0|0|0
Croton macrostachyus|234|-0.51|0.27|0|2|9|9|3|0|0
Croton madandensis|12|-0.77|-0.39|0|0|0|2|3|0|0
Croton maevaranensis|2|0.06|0.11|0|1|0|0|0|0|0
Croton magneticus|25|-0.64|0.04|0|2|9|9|3|0|0
Croton malabaricus|1|0.54|0.54|1|0|0|0|0|0|0
Croton malambo|8|-0.7|-0.09|0|0|2|9|3|0|0
Croton mallotophyllus|2|0.38|0.53|2|3|0|0|0|0|0
Croton matourensis|282|-0.09|0.55|2|9|3|0|0|0|0
Croton mayumbensis|8|-0.03|0.43|0|2|3|0|0|0|0
Croton medusae|5|-0.41|0.09|0|2|9|3|0|0|0
Croton megaladenus|2|0.2|0.2|0|1|0|0|0|0|0
Croton megalobotrys|163|-0.8|-0.63|0|0|0|0|1|0|0
Croton megalocarpoides|12|-0.53|0.04|0|2|9|9|3|0|0
Croton megalocarpus|69|-0.66|0.19|0|2|9|9|3|0|0
Croton megalodendron|23|-0.39|0.36|0|2|9|3|0|0|0
Croton megistocarpus|65|0.27|0.61|2|3|0|0|0|0|0
Croton menthodorus|37|-0.59|0.2|0|2|9|9|3|0|0
Croton menyharthii|81|-0.83|-0.3|0|0|2|9|9|3|0
Croton metallicus|1|0.56|0.56|1|0|0|0|0|0|0
Croton mexicanus|30|-0.41|0.53|2|9|9|3|0|0|0
Croton micans|46|-0.65|0.35|0|2|9|9|3|0|0
Croton microtiglium|4|-0.08|0.63|2|9|3|0|0|0|0
Croton mocquerysii|3|0.51|0.57|1|0|0|0|0|0|0
Croton mongue|104|-0.24|0.48|0|2|3|0|0|0|0
Croton morobensis|18|0.26|0.59|2|3|0|0|0|0|0
Croton morotaeus|5|0.35|0.39|0|1|0|0|0|0|0
Croton mubango|17|-0.41|0.26|0|2|9|3|0|0|0
Croton multicostatus|14|-0.47|-0.01|0|0|2|3|0|0|0
Croton muriculatus|5|0.38|0.5|2|3|0|0|0|0|0
Croton mutisianus|65|-0.08|0.54|2|9|3|0|0|0|0
Croton myriaster|43|-0.24|0.31|0|2|3|0|0|0|0
Croton neblinae|1|0.47|0.47|0|1|0|0|0|0|0
Croton nitens|84|-0.55|0.54|2|9|9|9|3|0|0
Croton nitidulus|124|-0.11|0.37|0|2|3|0|0|0|0
Croton nitrariifolius|7|-0.11|0.16|0|2|3|0|0|0|0
Croton niveus|506|-0.66|0.38|0|2|9|9|3|0|0
Croton nobilis|23|-0.46|0.02|0|2|9|3|0|0|0
Croton nubigenus|13|0.12|0.43|0|1|0|0|0|0|0
Croton nuntians|10|0.07|0.54|2|3|0|0|0|0|0
Croton oblongus|123|0.19|0.61|2|3|0|0|0|0|0
Croton oerstedianus|124|-0.55|-0.06|0|0|2|9|3|0|0
Croton oligandrus|36|-0.04|0.44|0|2|3|0|0|0|0
Croton oliganthus|1|-0.46|-0.46|0|0|0|1|0|0|0
Croton organensis|30|-0.07|0.32|0|2|3|0|0|0|0
Croton origanifolius|29|-0.59|0.28|0|2|9|9|3|0|0
Croton orinocensis|22|-0.1|0.39|0|2|3|0|0|0|0
Croton pachypodus|105|-0.01|0.64|2|9|3|0|0|0|0
Croton palanostigma|192|0.01|0.5|2|3|0|0|0|0|0
Croton pavonis|14|-0.64|0.38|0|2|9|9|3|0|0
Croton pendens|2|-0.33|-0.27|0|0|1|0|0|0|0
Croton penduliflorus|31|-0.4|0.43|0|2|9|3|0|0|0
Croton persimilis|41|-0.42|0.34|0|2|9|3|0|0|0
Croton perspeciosus|18|-0.43|0.05|0|2|9|3|0|0|0
Croton phebalioides|323|-0.68|-0.02|0|0|2|9|3|0|0
Croton pilophorus|4|0.3|0.44|0|1|0|0|0|0|0
Croton piluliferum|11|-0.68|-0.18|0|0|2|9|3|0|0
Croton piptocalyx|18|-0.13|0.44|0|2|3|0|0|0|0
Croton plagiographus|4|-0.59|-0.37|0|0|0|2|3|0|0
Croton poecilanthus|17|0.24|0.45|0|1|0|0|0|0|0
Croton poggei|1|0.49|0.49|0|1|0|0|0|0|0
Croton poilanei|15|-0.33|0.43|0|2|3|0|0|0|0
Croton polypleurus|4|0.11|0.36|0|1|0|0|0|0|0
Croton polytrichus|28|-0.61|-0.25|0|0|2|9|3|0|0
Croton poomae|4|0.4|0.47|0|1|0|0|0|0|0
Croton potabilis|1|0.3|0.3|0|1|0|0|0|0|0
Croton priscus|9|-0.27|0.57|2|9|3|0|0|0|0
Croton pseudoniveus|105|-0.61|0.06|0|2|9|9|3|0|0
Croton pseudopulchellus|95|-0.75|-0.06|0|0|2|9|3|0|0
Croton pullei|38|0.04|0.47|0|1|0|0|0|0|0
Croton pungens|63|-0.31|0.58|2|9|3|0|0|0|0
Croton purdiei|12|-0.16|0.5|2|9|3|0|0|0|0
Croton pyrifolius|1|-0.35|-0.35|0|0|1|0|0|0|0
Croton quadrisetosus|17|-0.58|-0.01|0|0|2|9|3|0|0
Croton quercetorum|1|-0.31|-0.31|0|0|1|0|0|0|0
Croton reflexifolius|305|-0.6|0.26|0|2|9|9|3|0|0
Croton regeneratrix|4|0.01|0.11|0|1|0|0|0|0|0
Croton rimbachii|28|-0.39|0.56|2|9|9|3|0|0|0
Croton ripensis|2|0.69|0.69|1|0|0|0|0|0|0
Croton rivinifolius|33|-0.83|-0.14|0|0|2|9|9|3|0
Croton robustus|21|-0.37|0.32|0|2|9|3|0|0|0
Croton roraimensis|5|-0.08|0.42|0|2|3|0|0|0|0
Croton rosarianus|5|0.35|0.36|0|1|0|0|0|0|0
Croton rosmarinoides|8|-0.3|0.02|0|2|3|0|0|0|0
Croton rottlerifolius|17|-0.18|0.02|0|2|3|0|0|0|0
Croton roxanae|60|-0.54|-0.12|0|0|2|9|3|0|0
Croton rufoargenteus|2|-0.53|-0.49|0|0|0|2|3|0|0
Croton rufolepidotus|5|0.48|0.6|2|3|0|0|0|0|0
Croton ruizianus|39|-0.94|0.04|0|2|9|9|9|3|0
Croton rusbyi|24|-0.14|0.28|0|2|3|0|0|0|0
Croton sacaquinha|14|0.07|0.46|0|1|0|0|0|0|0
Croton salutaris|20|-0.27|0.24|0|2|3|0|0|0|0
Croton sampatik|83|-0.16|0.55|2|9|3|0|0|0|0
Croton sapiifolius|7|-0.04|0.42|0|2|3|0|0|0|0
Croton sarocarpus|6|-0.9|-0.85|0|0|0|0|0|1|0
Croton scheffleri|25|-0.67|-0.21|0|0|2|9|3|0|0
Croton schiedeanus|913|-0.32|0.6|2|9|3|0|0|0|0
Croton schimperianus|6|-0.71|-0.39|0|0|0|2|3|0|0
Croton scoriarum|3|-0.22|-0.1|0|0|1|0|0|0|0
Croton scouleri|6|-0.78|0.1|0|2|9|9|3|0|0
Croton scutatus|19|0.16|0.46|0|1|0|0|0|0|0
Croton sepalinus|2|-0.27|0.04|0|2|3|0|0|0|0
Croton sexmetralis|6|-0.36|0.34|0|2|9|3|0|0|0
Croton sincorensis|46|-0.52|0.29|0|2|9|9|3|0|0
Croton singularis|9|0.31|0.63|2|3|0|0|0|0|0
Croton sipaliwinensis|4|0.32|0.4|0|1|0|0|0|0|0
Croton smithianus|104|-0.02|0.59|2|9|3|0|0|0|0
Croton socotranus|12|-0.94|-0.88|0|0|0|0|0|1|0
Croton soratensis|7|-0.67|-0.43|0|0|0|2|3|0|0
Croton sousae|2|-0.34|0.55|2|9|3|0|0|0|0
Croton speciosus|8|-0.23|0.48|0|2|3|0|0|0|0
Croton sphaerogynus|17|-0.21|0.46|0|2|3|0|0|0|0
Croton spruceanus|32|-0.16|0.48|0|2|3|0|0|0|0
Croton stanneum|30|-0.6|0.04|0|2|9|9|3|0|0
Croton steenkampianus|23|-0.67|-0.27|0|0|2|9|3|0|0
Croton stelluliferus|1|0.7|0.7|1|0|0|0|0|0|0
Croton stigmatosus|134|-0.38|0.3|0|2|9|3|0|0|0
Croton suberosus|173|-0.61|-0.22|0|0|2|9|3|0|0
Croton sublyratus|1|-0.15|-0.15|0|0|1|0|0|0|0
Croton submetallicus|86|-0.04|0.35|0|2|3|0|0|0|0
Croton sulcifructus|7|-0.94|-0.74|0|0|0|0|2|3|0
Croton sylvaticus|193|-0.49|0.34|0|2|9|3|0|0|0
Croton tabascensis|9|-0.56|0.13|0|2|9|9|3|0|0
Croton talaeporos|8|-0.77|-0.1|0|0|2|9|3|0|0
Croton tarapotensis|8|-0.33|0.45|0|2|3|0|0|0|0
Croton tchibangensis|4|0.14|0.16|0|1|0|0|0|0|0
Croton tenuicaudatus|25|0.4|0.59|2|3|0|0|0|0|0
Croton tessmannii|67|-0.16|0.63|2|9|3|0|0|0|0
Croton thomasii|4|0.21|0.39|0|1|0|0|0|0|0
Croton thorelii|11|-0.25|0.53|2|9|3|0|0|0|0
Croton tiglium|110|-0.39|0.59|2|9|9|3|0|0|0
Croton tomentellus|88|-0.57|-0.21|0|0|2|9|3|0|0
Croton tonduzii|7|-0.04|0.59|2|9|3|0|0|0|0
Croton triacros|69|-0.1|0.62|2|9|3|0|0|0|0
Croton tricolor|173|-0.66|0.01|0|2|9|9|3|0|0
Croton trombetensis|6|0.16|0.25|0|1|0|0|0|0|0
Croton urucurana|379|-0.38|0.17|0|2|9|3|0|0|0
Croton vatomandrensis|13|0.31|0.56|2|3|0|0|0|0|0
Croton vaughanii|1|0.36|0.36|0|1|0|0|0|0|0
Croton verapazensis|14|-0.45|0.37|0|2|9|3|0|0|0
Croton verreauxii|1061|-0.23|0.33|0|2|3|0|0|0|0
Croton verrucosus|28|-0.39|0.27|0|2|9|3|0|0|0
Croton vogelianus|2|0.26|0.32|0|1|0|0|0|0|0
